LE07_L1TP_021007_20060709_20170108_01_T1	LE70210072006190EDC00
LE07_L1TP_020007_20060702_20170109_01_T1	LE70200072006183ASN00
LE07_L1TP_021007_20060623_20170108_01_T1	LE70210072006174EDC00
LE07_L1TP_022006_20060614_20170108_01_T1	LE70220062006165EDC00
LE07_L1TP_022006_20060529_20170109_01_T1	LE70220062006149EDC00
LE07_L1TP_018007_20060517_20170108_01_T1	LE70180072006137EDC00
LE07_L1TP_018007_20060501_20170110_01_T1	LE70180072006121EDC00
LE07_L1TP_020007_20060429_20170110_01_T1	LE70200072006119ASN00
LE07_L1TP_022006_20060427_20170110_01_T1	LE70220062006117ASN00
LE07_L1TP_019007_20060406_20170110_01_T1	LE70190072006096EDC00
LE07_L1TP_020007_20060328_20170110_01_T1	LE70200072006087ASN00
LE07_L1TP_018007_20050919_20170113_01_T1	LE70180072005262EDC00
LE07_L1TP_019007_20050809_20170113_01_T1	LE70190072005221EDC00
LE07_L1TP_021007_20050807_20170114_01_T1	LE70210072005219EDC00
LE07_L1TP_021007_20050620_20170114_01_T1	LE70210072005171EDC00
LE07_L1TP_018007_20050530_20170115_01_T1	LE70180072005150EDC00
LE07_L1TP_020007_20050528_20170115_01_T1	LE70200072005148ASN00
LE07_L1TP_021007_20050519_20170115_01_T1	LE70210072005139ASN00
LE07_L1TP_021007_20050503_20170116_01_T1	LE70210072005123EDC00
LE07_L1TP_020007_20050426_20170115_01_T1	LE70200072005116ASN00
LE07_L1TP_021007_20050417_20170115_01_T1	LE70210072005107EDC00
LE07_L1TP_021007_20040921_20170118_01_T1	LE70210072004265EDC02
LE07_L1TP_020007_20040914_20170119_01_T1	LE70200072004258EDC02
LE07_L1TP_018007_20040831_20170119_01_T1	LE70180072004244EDC02
LE07_L1TP_021007_20040804_20170120_01_T1	LE70210072004217EDC01
LE07_L1TP_022006_20040624_20170120_01_T1	LE70220062004176ASN01
LE07_L1TP_021007_20040617_20170120_01_T1	LE70210072004169EDC01
LE07_L1TP_020007_20040610_20170121_01_T1	LE70200072004162EDC01
LE07_L1TP_019007_20040518_20170121_01_T1	LE70190072004139EDC02
LE07_L1TP_020007_20040509_20170120_01_T1	LE70200072004130ASN01
LE07_L1TP_022006_20040507_20170121_01_T1	LE70220062004128ASN01
LE07_L1TP_020007_20040423_20170121_01_T1	LE70200072004114PFS03
LE07_L1TP_021007_20040414_20170122_01_T1	LE70210072004105ASN01
LE07_L1TP_019007_20030921_20170124_01_T1	LE70190072003264EDC01
LE07_L1TP_022006_20030825_20170124_01_T1	LE70220062003237EDC01
LE07_L1TP_019007_20030719_20170124_01_T1	LE70190072003200EDC01
LE07_L1TP_021007_20030412_20170126_01_T1	LE70210072003102ASN00
LE07_L1TP_020007_20030405_20170126_01_T1	LE70200072003095ASN00
LE07_L1TP_019007_20020902_20170128_01_T1	LE70190072002245EDC00
LE07_L1TP_021007_20020831_20170128_01_T1	LE70210072002243EDC00
LE07_L1TP_020007_20020824_20170128_01_T1	LE70200072002236EDC00
LE07_L1TP_022006_20020822_20170128_01_T1	LE70220062002234EDC00
LE07_L1TP_022007_20020822_20170128_01_T1	LE70220072002234EDC00
LE07_L1TP_018007_20020810_20170128_01_T1	LE70180072002222EDC00
LE07_L1TP_019007_20020801_20170128_01_T1	LE70190072002213AGS00
LE07_L1TP_019007_20020630_20170129_01_T1	LE70190072002181EDC00
LE07_L1TP_019007_20020529_20170129_01_T1	LE70190072002149EDC00
LE07_L1TP_018007_20020522_20170129_01_T1	LE70180072002142EDC00
LE07_L1TP_022006_20020502_20170130_01_T1	LE70220062002122EDC00
LE07_L1TP_022007_20020502_20170130_01_T1	LE70220072002122EDC00
LE07_L1TP_021007_20020425_20170130_01_T1	LE70210072002115AGS00
LE07_L1TP_019007_20020411_20170131_01_T1	LE70190072002101EDC00
LE07_L1TP_022007_20020331_20170131_01_T1	LE70220072002090EDC00
LE07_L1TP_021007_20020324_20170131_01_T1	LE70210072002083AGS00
LE07_L1TP_021007_20011015_20170202_01_T1	LE70210072001288EDC00
LE07_L1TP_022006_20011006_20170203_01_T1	LE70220062001279EDC00
LE07_L1TP_019007_20010830_20170203_01_T1	LE70190072001242EDC00
LE07_L1TP_021007_20010828_20170203_01_T1	LE70210072001240EDC00
LE07_L1TP_018007_20010807_20170204_01_T1	LE70180072001219AGS00
LE07_L1TP_020007_20010805_20170204_01_T1	LE70200072001217EDC00
LE07_L1TP_021007_20010727_20170204_01_T1	LE70210072001208EDC00
LE07_L1TP_022006_20010718_20170204_01_T1	LE70220062001199EDC00
LE07_L1TP_020007_20010704_20170204_01_T1	LE70200072001185EDC00
LE07_L1TP_019007_20010627_20170204_01_T1	LE70190072001178EDC00
LE07_L1TP_021007_20010625_20170205_01_T1	LE70210072001176EDC00
