LT05_L1TP_006015_19980515_20161224_01_T1	LT50060151998135PAC00
LT05_L1TP_006015_19980429_20161225_01_T1	LT50060151998119PAC00
LT05_L1TP_006015_19970901_20161230_01_T1	LT50060151997244PAC00
LT05_L1TP_006015_19970613_20161231_01_T1	LT50060151997164PAC00
LT05_L1TP_006015_19970528_20161231_01_T1	LT50060151997148PAC00
LT05_L1TP_006015_19961016_20170103_01_T1	LT50060151996290PAC00
LT05_L1TP_006015_19960914_20170102_01_T1	LT50060151996258PAC00
LT05_L1TP_006015_19960813_20170103_01_T2	LT50060151996226PAC00
LT05_L1TP_005015_19960806_20170103_01_T1	LT50050151996219PAC00
LT05_L1TP_006015_19960626_20170104_01_T1	LT50060151996178PAC00
LT05_L1TP_006015_19960610_20170104_01_T2	LT50060151996162PAC00
LT05_L1TP_006015_19960509_20170105_01_T1	LT50060151996130PAC00
LT05_L1TP_006015_19960423_20170105_01_T1	LT50060151996114PAC00
LT05_L1TP_005015_19960416_20170105_01_T1	LT50050151996107PAC00
LT05_L1TP_005015_19951023_20170106_01_T1	LT50050151995296PAC00
LT05_L1TP_006015_19951014_20170106_01_T1	LT50060151995287PAC00
LT05_L1TP_006015_19950811_20170107_01_T1	LT50060151995223PAC00
LT05_L1TP_005015_19950719_20170108_01_T1	LT50050151995200PAC00
LT05_L1TP_005015_19950617_20170107_01_T1	LT50050151995168PAC00
LT05_L1TP_006015_19950507_20170108_01_T1	LT50060151995127PAC00
LT05_L1TP_006015_19950405_20170109_01_T1	LT50060151995095PAC00
LT05_L1TP_005015_19940918_20170112_01_T1	LT50050151994261PAC00
LT05_L1TP_006015_19940909_20170112_01_T1	LT50060151994252PAC00
LT05_L1TP_006015_19940824_20170113_01_T1	LT50060151994236PAC00
LT05_L1TP_006015_19940605_20170113_01_T1	LT50060151994156PAC00
LT05_L1TP_006015_19930906_20170117_01_T1	LT50060151993249PAC00
LT05_L1TP_005015_19930830_20170117_01_T1	LT50050151993242PAC00
LT05_L1TP_005015_19930510_20170119_01_T1	LT50050151993130PAC00
LT05_L1TP_006015_19930415_20170119_01_T2	LT50060151993105PAC00
LT05_L1TP_006015_19930330_20170119_01_T1	LT50060151993089PAC00
LT05_L1TP_005015_19930323_20170120_01_T1	LT50050151993082PAC00
LT05_L1TP_006015_19920919_20170122_01_T1	LT50060151992263PAC00
LT05_L1TP_005015_19920726_20170122_01_T1	LT50050151992208PAC00
LT05_L1TP_006015_19920717_20170123_01_T1	LT50060151992199PAC00
LT05_L1TP_005015_19920710_20170122_01_T1	LT50050151992192PAC00
LT04_L1TP_005015_19890216_20170204_01_T2	LT40050151989047XXX02
LT05_L1TP_005015_19870915_20170211_01_T1	LT50050151987258XXX03
LT05_L1TP_005015_19870830_20170211_01_T1	LT50050151987242XXX03
LT05_L1TP_005015_19870814_20170211_01_T1	LT50050151987226XXX07
LT05_L1TP_006015_19870805_20170211_01_T1	LT50060151987217XXX02
LT05_L1TP_006015_19870720_20170212_01_T1	LT50060151987201XXX08
LT05_L1TP_006015_19870704_20170212_01_T1	LT50060151987185XXX02
LT05_L1TP_006015_19870618_20170212_01_T1	LT50060151987169XXX02
