LC08_L1TP_003004_20130503_20180129_01_T1	LC80030042013123LGN03
LC08_L1TP_003004_20130823_20170502_01_T1	LC80030042013235LGN01
LC08_L1TP_003004_20130924_20170502_01_T1	LC80030042013267LGN01
LC08_L1TP_003004_20140404_20170424_01_T2	LC80030042014094LGN01
LC08_L1TP_003004_20140522_20170422_01_T1	LC80030042014142LGN01
LC08_L1TP_003004_20140607_20170422_01_T1	LC80030042014158LGN01
LC08_L1TP_003004_20140709_20170421_01_T1	LC80030042014190LGN01
LC08_L1TP_003004_20140911_20170419_01_T1	LC80030042014254LGN01
LC08_L1TP_003004_20150407_20170410_01_T1	LC80030042015097LGN01
LC08_L1TP_003004_20150525_20170408_01_T1	LC80030042015145LGN01
LC08_L1TP_003004_20150626_20170407_01_T1	LC80030042015177LGN01
LC08_L1TP_003004_20150813_20170406_01_T1	LC80030042015225LGN01
LC08_L1TP_003004_20150829_20170405_01_T1	LC80030042015241LGN01
LC08_L1TP_003004_20150914_20170404_01_T1	LC80030042015257LGN01
LC08_L1TP_003004_20160308_20170328_01_T2	LC80030042016068LGN01
LC08_L1TP_003004_20160425_20170326_01_T1	LC80030042016116LGN01
LC08_L1TP_003004_20160612_20170324_01_T1	LC80030042016164LGN01
LC08_L1TP_003004_20160628_20180129_01_T1	LC80030042016180LGN02
LC08_L1TP_003004_20160714_20170323_01_T1	LC80030042016196LGN01
LC08_L1TP_003004_20160730_20180129_01_T1	LC80030042016212LGN02
LC08_L1TP_003004_20160815_20170322_01_T1	LC80030042016228LGN01
LC08_L1TP_003004_20170327_20170414_01_T1	LC80030042017086LGN00
LC08_L1TP_003004_20170412_20170501_01_T1	LC80030042017102LGN00
LC08_L1TP_003004_20170514_20170525_01_T1	LC80030042017134LGN00
LC08_L1TP_003004_20170802_20170812_01_T1	LC80030042017214LGN00
LC08_L1TP_003004_20170818_20170826_01_T1	LC80030042017230LGN00
LC08_L1TP_003004_20170919_20170930_01_T1	LC80030042017262LGN01
LC08_L1TP_003004_20171005_20171014_01_T2	LC80030042017278LGN00
LC08_L1TP_003004_20180330_20180405_01_T2	LC80030042018089LGN00
LC08_L1TP_003004_20180415_20180501_01_T1	LC80030042018105LGN00
LC08_L1TP_003004_20180720_20180731_01_T1	LC80030042018201LGN00
LC08_L1TP_003004_20180906_20180912_01_T1	LC80030042018249LGN00
LC08_L1TP_003004_20180922_20180928_01_T1	LC80030042018265LGN00
LC08_L1TP_003004_20181008_20181029_01_T1	LC80030042018281LGN00
LC08_L1TP_003004_20190317_20190325_01_T1	LC80030042019076LGN00
LC08_L1TP_003004_20190402_20190421_01_T1	LC80030042019092LGN00
LC08_L1TP_003004_20190621_20190704_01_T1	LC80030042019172LGN00
LC08_L1TP_003004_20190723_20190801_01_T1	LC80030042019204LGN00
LC08_L1TP_003004_20190824_20190903_01_T1	LC80030042019236LGN00
LC08_L1TP_003004_20200319_20200326_01_T2	LC80030042020079LGN00
