LC08_L1TP_001014_20130521_20170504_01_T2	LC80010142013141LGN02
LC08_L1TP_001014_20130825_20170502_01_T1	LC80010142013237LGN01
LC08_L1TP_001014_20130926_20170501_01_T1	LC80010142013269LGN01
LC08_L1TP_001014_20131028_20170429_01_T1	LC80010142013301LGN01
LC08_L1TP_001014_20140609_20170422_01_T1	LC80010142014160LGN01
LC08_L1TP_001014_20140711_20170421_01_T1	LC80010142014192LGN01
LC08_L1TP_001014_20140812_20170420_01_T1	LC80010142014224LGN01
LC08_L1TP_001014_20141015_20170418_01_T1	LC80010142014288LGN01
LC08_L1TP_001014_20150612_20170408_01_T1	LC80010142015163LGN01
LC08_L1TP_001014_20150628_20170407_01_T1	LC80010142015179LGN01
LC08_L1TP_001014_20150714_20170407_01_T1	LC80010142015195LGN01
LC08_L1TP_001014_20150730_20170406_01_T1	LC80010142015211LGN01
LC08_L1TP_001014_20150815_20170406_01_T1	LC80010142015227LGN01
LC08_L1TP_001014_20150916_20170404_01_T1	LC80010142015259LGN01
LC08_L1TP_001014_20151002_20170403_01_T1	LC80010142015275LGN01
LC08_L1TP_001014_20160513_20170324_01_T2	LC80010142016134LGN01
LC08_L1TP_001014_20160614_20170324_01_T1	LC80010142016166LGN01
LC08_L1TP_001014_20160902_20170321_01_T1	LC80010142016246LGN01
LC08_L1TP_001014_20170516_20170525_01_T1	LC80010142017136LGN00
LC08_L1TP_001014_20170601_20170615_01_T1	LC80010142017152LGN00
LC08_L1TP_001014_20170703_20180125_01_T1	LC80010142017184LGN01
LC08_L1TP_001014_20170804_20170812_01_T1	LC80010142017216LGN00
LC08_L1TP_001014_20170905_20170917_01_T1	LC80010142017248LGN00
LC08_L1TP_001014_20171108_20180125_01_T2	LC80010142017312LGN01
LC08_L1TP_001014_20180316_20180402_01_T2	LC80010142018075LGN00
LC08_L1TP_001014_20180503_20180516_01_T2	LC80010142018123LGN00
LC08_L1TP_001014_20180823_20180829_01_T1	LC80010142018235LGN00
LC08_L1TP_001014_20190404_20190422_01_T2	LC80010142019094LGN00
LC08_L1TP_001014_20190607_20190619_01_T1	LC80010142019158LGN00
LC08_L1TP_001014_20190623_20190704_01_T1	LC80010142019174LGN00
LC08_L1TP_001014_20190709_20190719_01_T1	LC80010142019190LGN00
LC08_L1TP_001014_20190810_20190820_01_T1	LC80010142019222LGN00
LC08_L1TP_001014_20190826_20190903_01_T1	LC80010142019238LGN00
LC08_L1TP_001014_20190911_20190917_01_T1	LC80010142019254LGN00
LC08_L1TP_001014_20200524_20200607_01_T1	LC80010142020145LGN00
LC08_L1TP_001014_20200711_20200711_01_RT	LC80010142020193LGN00
LC08_L1TP_001015_20130521_20170504_01_T2	LC80010152013141LGN02
LC08_L1TP_001015_20130926_20170501_01_T1	LC80010152013269LGN01
LC08_L1TP_001015_20140524_20170422_01_T1	LC80010152014144LGN01
LC08_L1TP_001015_20140609_20170422_01_T1	LC80010152014160LGN01
LC08_L1TP_001015_20140711_20170421_01_T1	LC80010152014192LGN01
LC08_L1TP_001015_20150425_20170409_01_T2	LC80010152015115LGN01
LC08_L1TP_001015_20150628_20170407_01_T1	LC80010152015179LGN01
LC08_L1TP_001015_20150714_20170407_01_T1	LC80010152015195LGN01
LC08_L1TP_001015_20150730_20170406_01_T1	LC80010152015211LGN01
LC08_L1TP_001015_20150815_20170406_01_T1	LC80010152015227LGN01
LC08_L1TP_001015_20151002_20170403_01_T1	LC80010152015275LGN01
LC08_L1TP_001015_20160427_20170326_01_T1	LC80010152016118LGN01
LC08_L1TP_001015_20160513_20170324_01_T1	LC80010152016134LGN01
LC08_L1TP_001015_20160529_20180129_01_T1	LC80010152016150LGN02
LC08_L1TP_001015_20160614_20170324_01_T1	LC80010152016166LGN01
LC08_L1TP_001015_20160801_20170322_01_T1	LC80010152016214LGN01
LC08_L1TP_001015_20160902_20170321_01_T1	LC80010152016246LGN01
LC08_L1TP_001015_20170414_20170501_01_T2	LC80010152017104LGN00
LC08_L1TP_001015_20170516_20170525_01_T1	LC80010152017136LGN00
LC08_L1TP_001015_20170601_20170615_01_T1	LC80010152017152LGN00
