
LC08_L1TP_065235_20140609_20170422_01_T1	LC80652352014160LGN01
LC08_L1TP_065235_20140625_20170421_01_T1	LC80652352014176LGN01
LC08_L1TP_065235_20140711_20170421_01_T1	LC80652352014192LGN01
LC08_L1TP_065235_20140727_20170420_01_T1	LC80652352014208LGN01
LC08_L1TP_065235_20160614_20170324_01_T1	LC80652352016166LGN01
LC08_L1TP_065235_20160630_20170323_01_T1	LC80652352016182LGN01
LC08_L1TP_065235_20160801_20170322_01_T1	LC80652352016214LGN01
LC08_L1TP_065235_20180620_20180703_01_T1	LC80652352018171LGN00
LC08_L1TP_065235_20180722_20180731_01_T1	LC80652352018203LGN00
LC08_L1TP_065235_20180807_20180815_01_T1	LC80652352018219LGN00
LC08_L1TP_065235_20190607_20190619_01_T1	LC80652352019158LGN00
LC08_L1TP_065235_20190709_20190719_01_T1	LC80652352019190LGN00
LC08_L1TP_065235_20200508_20200526_01_T1	LC80652352020129LGN00
LC08_L1TP_066234_20140531_20170422_01_T1	LC80662342014151LGN01
LC08_L1TP_066234_20140616_20170421_01_T1	LC80662342014167LGN01
LC08_L1TP_066234_20140718_20170421_01_T1	LC80662342014199LGN01
LC08_L1TP_066234_20160520_20180202_01_T1	LC80662342016141LGN02
LC08_L1TP_066234_20160621_20180202_01_T1	LC80662342016173LGN02
LC08_L1TP_066234_20160723_20170322_01_T1	LC80662342016205LGN01
LC08_L1TP_066234_20160808_20170322_01_T1	LC80662342016221LGN01
LC08_L1TP_066234_20170710_20170725_01_T1	LC80662342017191LGN00
LC08_L1TP_066234_20170726_20170810_01_T1	LC80662342017207LGN00
LC08_L1TP_066234_20180713_20180730_01_T1	LC80662342018194LGN00
LC08_L1TP_066234_20190614_20190620_01_T1	LC80662342019165LGN00
LC08_L1TP_066234_20190801_20190819_01_T1	LC80662342019213LGN00
LC08_L1TP_066235_20140531_20170422_01_T1	LC80662352014151LGN01
LC08_L1TP_066235_20140616_20170421_01_T1	LC80662352014167LGN01
LC08_L1TP_066235_20140718_20170421_01_T1	LC80662352014199LGN01
LC08_L1TP_066235_20160520_20180202_01_T1	LC80662352016141LGN02
LC08_L1TP_066235_20160621_20180202_01_T1	LC80662352016173LGN02
LC08_L1TP_066235_20160723_20170322_01_T1	LC80662352016205LGN01
LC08_L1TP_066235_20160808_20170322_01_T1	LC80662352016221LGN01
LC08_L1TP_066235_20170710_20170725_01_T1	LC80662352017191LGN00
LC08_L1TP_066235_20170726_20170810_01_T1	LC80662352017207LGN00
