LM02_L1GS_026006_19810510_20180414_01_T2	LM20260061981130PAC01
LM02_L1GS_022007_19810506_20180414_01_T2	LM20220071981126PAC01
LM02_L1GS_027006_19810423_20180414_01_T2	LM20270061981113PAC01
LM02_L1TP_027006_19801007_20180418_01_T2	LM20270061980281PAC01
LM02_L1GS_026006_19790714_20180419_01_T2	LM20260061979195PAC01
LM02_L1TP_027006_19790329_20180419_01_T2	LM20270061979088AAA04
LM03_L1TP_026006_19780728_20180421_01_T2	LM30260061978209AAA02
LM03_L1GS_022007_19780724_20180421_01_T2	LM30220071978205AAA02
LM02_L1GS_023007_19760602_20180423_01_T2	LM20230071976154AAA04
LM02_L1GS_023007_19760427_20180424_01_T2	LM20230071976118GMD03
LM02_L1TP_023007_19760409_20180424_01_T2	LM20230071976100AAA05
LM02_L1TP_023007_19760322_20180424_01_T2	LM20230071976082GDS03
LM02_L1GS_026006_19750611_20180425_01_T2	LM20260061975162GMD07
LM01_L1GS_022007_19740410_20180426_01_T2	LM10220071974100PAC01
LM01_L1GS_022007_19730819_20180428_01_T2	LM10220071973231FAK03
LM01_L1TP_023007_19730329_20180427_01_T2	LM10230071973088PAC01
LM01_L1GS_023007_19720913_20180429_01_T2	LM10230071972257FAK02
LM01_L1GS_024006_19720913_20180429_01_T2	LM10240061972257XXX01
