LT05_L1TP_018007_19980924_20161221_01_T1	LT50180071998267KIS00
LT05_L1TP_020007_19980922_20161221_01_T1	LT50200071998265KIS00
LT05_L1GS_019007_19980915_20161222_01_T2	LT50190071998258KIS00
LT05_L1GS_019007_19980830_20161222_01_T2	LT50190071998242KIS00
LT05_L1TP_019007_19980814_20161223_01_T1	LT50190071998226KIS00
LT05_L1GS_018007_19980807_20161223_01_T2	LT50180071998219KIS00
LT05_L1GS_020007_19980805_20161223_01_T2	LT50200071998217KIS00
LT05_L1TP_019007_19980713_20161223_01_T1	LT50190071998194KIS00
LT05_L1GS_018007_19980706_20161223_01_T2	LT50180071998187KIS00
LT05_L1TP_020007_19980704_20161223_01_T1	LT50200071998185KIS00
LT05_L1TP_021007_19980609_20161224_01_T1	LT50210071998160KIS00
LT05_L1TP_020007_19980602_20161224_01_T1	LT50200071998153KIS00
LT05_L1TP_019007_19980510_20161224_01_T1	LT50190071998130KIS00
LT05_L1GS_020007_19980501_20161225_01_T2	LT50200071998121KIS00
LT05_L1TP_019007_19980424_20161225_01_T1	LT50190071998114KIS00
LT05_L1TP_021007_19980422_20161224_01_T1	LT50210071998112KIS00
LT05_L1TP_020007_19980415_20161225_01_T2	LT50200071998105KIS00
LT05_L1GS_019007_19980408_20161225_01_T2	LT50190071998098KIS00
LT05_L1TP_021007_19980406_20161225_01_T1	LT50210071998096KIS00
LT05_L1TP_020007_19980330_20161225_01_T1	LT50200071998089KIS00
LT05_L1TP_021007_19980321_20161225_01_T1	LT50210071998080KIS00
LT05_L1TP_019007_19970928_20161229_01_T1	LT50190071997271KIS00
LT05_L1GS_020007_19970903_20180221_01_T2	LT50200071997246KIS00
LT05_L1TP_020007_19970717_20180221_01_T1	LT50200071997198KIS00
LT05_L1TP_020007_19970701_20180221_01_T1	LT50200071997182KIS00
LT05_L1TP_022007_19970629_20180221_01_T1	LT50220071997180KIS00
LT05_L1TP_021007_19970622_20180221_01_T1	LT50210071997173KIS00
LT05_L1TP_020007_19970615_20180221_01_T1	LT50200071997166KIS00
LT05_L1TP_022007_19970613_20180221_01_T1	LT50220071997164KIS00
LT05_L1TP_020007_19970514_20180221_01_T2	LT50200071997134KIS00
LT05_L1TP_022007_19970512_20180221_01_T2	LT50220071997132KIS00
LT05_L1TP_020007_19970412_20180221_01_T2	LT50200071997102KIS00
LT05_L1TP_022007_19970410_20180221_01_T2	LT50220071997100KIS00
LT05_L1TP_019007_19970405_20180221_01_T2	LT50190071997095KIS00
LT05_L1TP_021007_19970403_20180221_01_T2	LT50210071997093KIS00
LT05_L1TP_022006_19960712_20180221_01_T1	LT50220061996194KIS00
LT05_L1TP_022007_19960712_20180221_01_T1	LT50220071996194KIS00
LT05_L1TP_018007_19950916_20180220_01_T1	LT50180071995259KIS00
LT05_L1GS_021007_19950905_20180221_01_T2	LT50210071995248KIS00
LT05_L1TP_022006_19950827_20180221_01_T1	LT50220061995239KIS00
LT05_L1TP_022007_19950827_20180221_01_T1	LT50220071995239KIS00
LT05_L1TP_019007_19950806_20180221_01_T1	LT50190071995218KIS00
LT05_L1TP_021007_19950804_20180221_01_T1	LT50210071995216KIS00
LT05_L1GS_020007_19950728_20180221_01_T2	LT50200071995209KIS00
LT05_L1GS_020007_19950712_20180221_01_T2	LT50200071995193KIS00
LT05_L1TP_022006_19950710_20180221_01_T1	LT50220061995191KIS00
LT05_L1TP_022007_19950710_20180221_01_T1	LT50220071995191KIS00
LT05_L1TP_021007_19950703_20180221_01_T2	LT50210071995184KIS00
LT05_L1TP_020007_19950626_20180221_01_T1	LT50200071995177KIS00
LT05_L1GS_022007_19950624_20180221_01_T2	LT50220071995175KIS00
LT05_L1TP_019007_19950619_20180221_01_T1	LT50190071995170KIS00
LT05_L1TP_020007_19950610_20180221_01_T1	LT50200071995161KIS00
LT05_L1GS_021007_19950601_20180221_01_T2	LT50210071995152KIS00
LT05_L1TP_018007_19950527_20180220_01_T2	LT50180071995147KIS00
LT05_L1TP_020007_19950525_20180221_01_T1	LT50200071995145KIS00
