LM01_L1GS_024006_19720913_20180429_01_T2	LM10240061972257XXX01
LM01_L1GS_023007_19720913_20180429_01_T2	LM10230071972257FAK02
LM01_L1TP_023007_19730329_20180427_01_T2	LM10230071973088PAC01
LM01_L1GS_022007_19730819_20180428_01_T2	LM10220071973231FAK03
LM01_L1GS_022007_19740410_20180426_01_T2	LM10220071974100PAC01
LM02_L1GS_026006_19750611_20180425_01_T2	LM20260061975162GMD07
LM02_L1TP_023007_19760322_20180424_01_T2	LM20230071976082GDS03
LM02_L1TP_023007_19760409_20180424_01_T2	LM20230071976100AAA05
LM02_L1GS_023007_19760427_20180424_01_T2	LM20230071976118GMD03
LM02_L1GS_023007_19760602_20180423_01_T2	LM20230071976154AAA04
LM03_L1GS_022007_19780724_20180421_01_T2	LM30220071978205AAA02
LM03_L1TP_026006_19780728_20180421_01_T2	LM30260061978209AAA02
LM02_L1TP_027006_19790329_20180419_01_T2	LM20270061979088AAA04
LM02_L1GS_026006_19790714_20180419_01_T2	LM20260061979195PAC01
LM02_L1TP_027006_19801007_20180418_01_T2	LM20270061980281PAC01
LM02_L1GS_027006_19810423_20180414_01_T2	LM20270061981113PAC01
LM02_L1GS_022007_19810506_20180414_01_T2	LM20220071981126PAC01
LM02_L1GS_026006_19810510_20180414_01_T2	LM20260061981130PAC01
LT05_L1TP_020007_19850310_20170219_01_T1	LT50200071985069KIS00
LT05_L1TP_020007_19850326_20170219_01_T1	LT50200071985085KIS00
LT05_L1TP_018007_19850328_20170219_01_T1	LT50180071985087KIS00
LT05_L1TP_020007_19850411_20170219_01_T1	LT50200071985101KIS00
LT05_L1GS_018007_19850413_20170219_01_T2	LT50180071985103KIS00
LT05_L1GS_020007_19850427_20170219_01_T2	LT50200071985117KIS00
LT05_L1TP_019007_19850506_20170219_01_T1	LT50190071985126KIS00
LT05_L1GS_020007_19850513_20170219_01_T2	LT50200071985133KIS00
LT05_L1GS_018007_19850515_20170219_01_T2	LT50180071985135KIS00
LT05_L1GS_019007_19850522_20170219_01_T2	LT50190071985142KIS00
LT05_L1TP_020007_19850529_20170219_01_T1	LT50200071985149KIS00
LT05_L1GS_018007_19850531_20170219_01_T2	LT50180071985151KIS00
LT05_L1TP_019007_19850623_20170219_01_T1	LT50190071985174KIS00
LT05_L1TP_020007_19850630_20170219_01_T1	LT50200071985181KIS00
LT05_L1TP_018007_19850702_20170219_01_T1	LT50180071985183KIS00
LT05_L1TP_019007_19850709_20170219_01_T1	LT50190071985190KIS00
LT05_L1GS_018007_19850718_20170219_01_T2	LT50180071985199KIS00
LT05_L1TP_019007_19850725_20170219_01_T1	LT50190071985206KIS00
LT05_L1TP_018007_19850803_20170219_01_T1	LT50180071985215KIS00
LT05_L1GS_019007_19850810_20170219_01_T2	LT50190071985222KIS00
LT05_L1TP_018007_19850819_20170218_01_T1	LT50180071985231KIS00
LT05_L1TP_018007_19850904_20170218_01_T1	LT50180071985247KIS00
LT05_L1TP_019007_19850911_20170218_01_T1	LT50190071985254KIS00
LT05_L1TP_018007_19850920_20170218_01_T1	LT50180071985263KIS00
LT05_L1TP_020007_19860414_20170218_01_T1	LT50200071986104KIS00
LT05_L1TP_018007_19860416_20170218_01_T1	LT50180071986106KIS00
LT05_L1TP_020007_19860430_20170218_01_T1	LT50200071986120KIS00
LT05_L1TP_020007_19860516_20170217_01_T1	LT50200071986136KIS00
LT05_L1GS_019007_19860525_20170217_01_T2	LT50190071986145KIS00
LT05_L1GS_018007_19860603_20170217_01_T2	LT50180071986154KIS00
LT05_L1TP_018007_19860619_20170217_01_T1	LT50180071986170KIS01
LT05_L1GS_018007_19860705_20170217_01_T2	LT50180071986186KIS00
LT05_L1GS_018007_19860721_20170217_01_T2	LT50180071986202KIS00
LT05_L1GS_018007_19860806_20170217_01_T2	LT50180071986218KIS00
LT05_L1GS_019007_19860813_20170216_01_T2	LT50190071986225KIS00
LT05_L1GS_020007_19860820_20170216_01_T2	LT50200071986232KIS00
LT05_L1GS_018007_19860822_20170216_01_T2	LT50180071986234KIS00
LT05_L1TP_019007_19860829_20170216_01_T1	LT50190071986241KIS00
LT05_L1TP_018007_19860907_20170216_01_T1	LT50180071986250KIS00
LT05_L1TP_020007_19860921_20170216_01_T1	LT50200071986264KIS00
LT05_L1TP_019007_19860930_20170216_01_T1	LT50190071986273KIS00
LT05_L1TP_020007_19870401_20170213_01_T1	LT50200071987091KIS00
LT05_L1TP_020007_19870417_20170213_01_T1	LT50200071987107KIS00
LT05_L1TP_023006_19870422_20170213_01_T1	LT50230061987112KIS00
LT05_L1TP_020007_19870503_20170213_01_T1	LT50200071987123KIS00
LT05_L1TP_023006_19870508_20170213_01_T1	LT50230061987128KIS00
LT05_L1TP_019007_19870512_20170212_01_T1	LT50190071987132KIS00
LT05_L1TP_020007_19870519_20170212_01_T1	LT50200071987139KIS00
LT05_L1TP_019007_19870528_20170212_01_T1	LT50190071987148KIS00
LT05_L1TP_023006_19870609_20170212_01_T1	LT50230061987160KIS00
LT05_L1TP_021007_19870611_20170212_01_T1	LT50210071987162KIS00
LT05_L1TP_019007_19870613_20170212_01_T1	LT50190071987164KIS00
LT05_L1TP_020007_19870620_20170212_01_T1	LT50200071987171KIS00
LT05_L1TP_019007_19870629_20170212_01_T1	LT50190071987180KIS00
LT05_L1TP_020007_19870706_20170212_01_T1	LT50200071987187KIS00
LT05_L1TP_020007_19870807_20170211_01_T1	LT50200071987219KIS00
LT05_L1TP_019007_19870816_20170211_01_T1	LT50190071987228KIS00
LT05_L1GS_019007_19870901_20170211_01_T2	LT50190071987244KIS00
LT05_L1TP_020007_19870908_20170211_01_T1	LT50200071987251KIS00
LT05_L1GS_023006_19870913_20170211_01_T2	LT50230061987256KIS00
LT05_L1TP_019007_19870917_20170211_01_T1	LT50190071987260KIS00
LT05_L1TP_022007_19870922_20170211_01_T1	LT50220071987265KIS00
LT05_L1TP_020007_19870924_20170211_01_T1	LT50200071987267KIS00
LT05_L1GS_018007_19880320_20170209_01_T2	LT50180071988080KIS00
LT05_L1GS_019007_19880327_20170209_01_T2	LT50190071988087KIS00
LT05_L1TP_018007_19880405_20170209_01_T2	LT50180071988096KIS00
LT05_L1GS_019007_19880412_20170209_01_T2	LT50190071988103KIS00
LT05_L1TP_018007_19880421_20170209_01_T2	LT50180071988112KIS00
LT05_L1GS_019007_19880428_20170209_01_T2	LT50190071988119KIS00
LT05_L1TP_018007_19880507_20170208_01_T2	LT50180071988128KIS00
LT05_L1GS_019007_19880514_20170208_01_T2	LT50190071988135KIS00
LT05_L1TP_018007_19880523_20170208_01_T1	LT50180071988144KIS00
LT05_L1TP_018007_19880608_20170208_01_T1	LT50180071988160KIS00
LT05_L1GS_019007_19880615_20170208_01_T2	LT50190071988167KIS00
LT05_L1TP_019007_19880701_20170208_01_T1	LT50190071988183KIS00
LT05_L1TP_018007_19880710_20170208_01_T1	LT50180071988192KIS00
LT05_L1TP_018007_19880726_20170208_01_T1	LT50180071988208KIS00
LT05_L1TP_018007_19880811_20170207_01_T1	LT50180071988224KIS00
LT05_L1TP_019007_19880818_20170206_01_T1	LT50190071988231KIS00
LT05_L1GS_019007_19880903_20170206_01_T2	LT50190071988247KIS00
LT05_L1TP_018007_19880912_20170206_01_T1	LT50180071988256KIS00
LT05_L1TP_019007_19880919_20170206_01_T1	LT50190071988263KIS00
LT05_L1TP_018007_19880928_20170205_01_T1	LT50180071988272KIS00
LT05_L1TP_020007_19890321_20170204_01_T1	LT50200071989080KIS00
LT05_L1TP_018007_19890323_20170204_01_T1	LT50180071989082KIS00
LT05_L1GS_019007_19890330_20170204_01_T2	LT50190071989089KIS00
LT05_L1TP_018007_19890408_20170204_01_T2	LT50180071989098KIS00
LT05_L1TP_019007_19890415_20170204_01_T1	LT50190071989105KIS00
LT05_L1TP_020007_19890422_20170203_01_T1	LT50200071989112KIS00
LT05_L1TP_019007_19890501_20170203_01_T1	LT50190071989121KIS00
LT05_L1TP_018007_19890510_20170203_01_T2	LT50180071989130KIS00
LT05_L1GS_019007_19890517_20170203_01_T2	LT50190071989137KIS01
LT05_L1TP_018007_19890526_20170203_01_T2	LT50180071989146KIS00
LT05_L1GS_019007_19890602_20170203_01_T2	LT50190071989153KIS00
LT05_L1TP_018007_19890611_20170203_01_T1	LT50180071989162KIS00
LT05_L1TP_019007_19890618_20170202_01_T1	LT50190071989169KIS00
LT05_L1TP_020007_19890625_20170202_01_T1	LT50200071989176KIS00
LT05_L1GS_018007_19890713_20170202_01_T2	LT50180071989194KIS00
LT05_L1GS_019007_19890720_20170202_01_T2	LT50190071989201KIS00
LT05_L1TP_018007_19890814_20170202_01_T1	LT50180071989226KIS00
LT05_L1TP_019007_19890821_20170202_01_T1	LT50190071989233KIS00
LT05_L1TP_020007_19890828_20170201_01_T1	LT50200071989240KIS00
LT05_L1GS_018007_19890830_20170201_01_T2	LT50180071989242KIS00
LT05_L1GS_019007_19890906_20170201_01_T2	LT50190071989249KIS00
LT05_L1TP_020007_19890929_20170201_01_T1	LT50200071989272KIS00
LT05_L1TP_020007_19900324_20170131_01_T1	LT50200071990083KIS00
LT05_L1GS_018007_19900326_20170131_01_T2	LT50180071990085KIS00
LT05_L1GS_019007_19900402_20170131_01_T2	LT50190071990092KIS00
LT05_L1TP_020007_19900409_20170131_01_T1	LT50200071990099KIS00
LT05_L1GS_018007_19900411_20170131_01_T2	LT50180071990101KIS00
LT05_L1TP_019007_19900418_20170130_01_T1	LT50190071990108KIS01
LT05_L1TP_020007_19900425_20170131_01_T1	LT50200071990115KIS00
LT05_L1GS_018007_19900513_20170130_01_T2	LT50180071990133KIS00
LT05_L1GS_019007_19900520_20170131_01_T2	LT50190071990140KIS00
LT05_L1GS_022007_19900525_20170130_01_T2	LT50220071990145KIS00
LT05_L1GS_020007_19900527_20170130_01_T2	LT50200071990147KIS00
LT05_L1TP_018007_19900529_20170129_01_T1	LT50180071990149KIS00
LT05_L1TP_019007_19900605_20170130_01_T1	LT50190071990156KIS00
LT05_L1TP_020007_19900612_20170129_01_T1	LT50200071990163KIS00
LT05_L1TP_018007_19900614_20170129_01_T1	LT50180071990165KIS00
LT05_L1TP_019007_19900621_20170130_01_T1	LT50190071990172KIS00
LT05_L1TP_020007_19900628_20170129_01_T1	LT50200071990179KIS00
LT05_L1GS_018007_19900630_20170130_01_T2	LT50180071990181KIS00
LT05_L1TP_019007_19900707_20170130_01_T1	LT50190071990188KIS00
LT05_L1TP_018007_19900716_20170129_01_T1	LT50180071990197KIS00
LT05_L1TP_018007_19900817_20170130_01_T1	LT50180071990229KIS00
LT05_L1TP_019007_19900909_20170129_01_T1	LT50190071990252KIS00
LT05_L1TP_023006_19910316_20180606_01_T1	LT50230061991075KIS00
LT05_L1GS_022006_19910325_20180606_01_T2	LT50220061991084KIS00
LT05_L1TP_020007_19910327_20180606_01_T1	LT50200071991086KIS00
LT05_L1GS_020006_19910327_20180606_01_T2	LT50200061991086KIS00
LT05_L1TP_018007_19910329_20180606_01_T2	LT50180071991088KIS00
LT05_L1TP_023006_19910401_20180606_01_T1	LT50230061991091KIS00
LT05_L1GS_021006_19910403_20180606_01_T2	LT50210061991093KIS00
LT05_L1TP_020007_19910412_20180606_01_T1	LT50200071991102KIS00
LT05_L1GS_020006_19910412_20180606_01_T2	LT50200061991102KIS00
LT05_L1GS_018007_19910414_20180606_01_T2	LT50180071991104KIS00
LT05_L1TP_023006_19910417_20180606_01_T1	LT50230061991107KIS00
LT05_L1TP_020007_19910428_20180221_01_T2	LT50200071991118KIS00
LT05_L1GS_018007_19910430_20180220_01_T2	LT50180071991120KIS00
LT05_L1TP_019007_19910507_20180221_01_T2	LT50190071991127KIS00
LT05_L1TP_020007_19910514_20180221_01_T2	LT50200071991134KIS00
LT05_L1TP_019007_19910523_20180221_01_T1	LT50190071991143KIS00
LT05_L1GS_020007_19910530_20180221_01_T2	LT50200071991150KIS00
LT05_L1TP_018007_19910601_20180220_01_T2	LT50180071991152KIS00
LT05_L1TP_021007_19910606_20180221_01_T1	LT50210071991157KIS00
LT05_L1TP_020007_19910615_20180221_01_T2	LT50200071991166KIS00
LT05_L1TP_018007_19910617_20180220_01_T2	LT50180071991168KIS00
LT05_L1GS_019007_19910624_20180221_01_T2	LT50190071991175KIS00
LT05_L1GS_018007_19910703_20180220_01_T2	LT50180071991184KIS00
LT05_L1TP_019007_19910710_20180221_01_T1	LT50190071991191KIS00
LT05_L1TP_022007_19910715_20180221_01_T1	LT50220071991196KIS00
LT05_L1TP_022006_19910715_20180221_01_T1	LT50220061991196KIS00
LT05_L1TP_018007_19910719_20180220_01_T1	LT50180071991200KIS00
LT05_L1TP_021007_19910724_20180221_01_T1	LT50210071991205KIS00
LT05_L1TP_019007_19910726_20180221_01_T1	LT50190071991207KIS00
LT05_L1TP_018007_19910804_20180220_01_T1	LT50180071991216KIS00
LT05_L1GS_019007_19910811_20180221_01_T2	LT50190071991223KIS00
LT05_L1GS_017007_19910813_20180606_01_T2	LT50170071991225KIS00
LT05_L1TP_021007_19910825_20180221_01_T1	LT50210071991237KIS00
LT05_L1TP_018007_19920315_20180220_01_T2	LT50180071992075KIS00
LT05_L1TP_019007_19920322_20180221_01_T2	LT50190071992082KIS00
LT05_L1TP_022006_19920327_20180221_01_T2	LT50220061992087KIS00
LT05_L1TP_019007_19920407_20180221_01_T1	LT50190071992098KIS00
LT05_L1GS_022006_19920412_20180221_01_T2	LT50220061992103KIS00
LT05_L1TP_020007_19920414_20180221_01_T2	LT50200071992105KIS00
LT05_L1TP_018007_19920416_20180220_01_T2	LT50180071992107KIS00
LT05_L1TP_021007_19920421_20180221_01_T1	LT50210071992112KIS00
LT05_L1TP_019007_19920423_20180221_01_T1	LT50190071992114KIS00
LT05_L1TP_018007_19920502_20180220_01_T2	LT50180071992123KIS00
LT05_L1GS_021007_19920507_20180221_01_T2	LT50210071992128KIS00
LT05_L1TP_019007_19920610_20180221_01_T1	LT50190071992162KIS00
LT05_L1TP_020007_19920617_20180221_01_T1	LT50200071992169KIS00
LT05_L1TP_019007_19920626_20180221_01_T1	LT50190071992178KIS00
LT05_L1TP_020007_19920703_20180221_01_T1	LT50200071992185KIS00
LT05_L1GS_018007_19920705_20180220_01_T2	LT50180071992187KIS00
LT05_L1GS_019007_19920712_20180221_01_T2	LT50190071992194KIS00
LT05_L1TP_020007_19920719_20180221_01_T1	LT50200071992201KIS00
LT05_L1GS_018007_19920721_20180220_01_T2	LT50180071992203KIS00
LT05_L1TP_019007_19920728_20180221_01_T1	LT50190071992210KIS00
LT05_L1GS_020007_19920804_20180221_01_T2	LT50200071992217KIS00
LT05_L1GS_018007_19920806_20180220_01_T2	LT50180071992219KIS00
LT05_L1GS_019007_19920813_20180221_01_T2	LT50190071992226KIS00
LT05_L1TP_020007_19920820_20180221_01_T1	LT50200071992233KIS00
LT05_L1TP_018007_19920822_20180220_01_T1	LT50180071992235KIS00
LT05_L1TP_021007_19920827_20180221_01_T1	LT50210071992240KIS00
LT05_L1TP_019007_19920829_20180221_01_T2	LT50190071992242KIS00
LT05_L1TP_022007_19920903_20180221_01_T1	LT50220071992247KIS00
LT05_L1TP_020007_19920905_20180221_01_T1	LT50200071992249KIS00
LT05_L1TP_018007_19920907_20180220_01_T2	LT50180071992251KIS00
LT05_L1GS_019007_19920914_20180221_01_T2	LT50190071992258KIS00
LT05_L1TP_022007_19920919_20180221_01_T1	LT50220071992263KIS00
LT05_L1TP_020007_19920921_20180221_01_T1	LT50200071992265KIS00
LT05_L1TP_018007_19920923_20180220_01_T2	LT50180071992267KIS00
LT05_L1TP_021007_19920928_20180221_01_T1	LT50210071992272KIS00
LT05_L1TP_018007_19930318_20180220_01_T2	LT50180071993077KIS00
LT05_L1TP_021007_19930323_20180221_01_T2	LT50210071993082KIS00
LT05_L1TP_019007_19930325_20180221_01_T1	LT50190071993084KIS00
LT05_L1TP_022007_19930330_20180221_01_T2	LT50220071993089KIS00
LT05_L1TP_022006_19930330_20180221_01_T2	LT50220061993089KIS00
LT05_L1TP_020007_19930401_20180221_01_T2	LT50200071993091KIS00
LT05_L1GS_018007_19930403_20180220_01_T2	LT50180071993093KIS00
LT05_L1TP_019007_19930410_20180221_01_T1	LT50190071993100KIS00
LT05_L1GS_022007_19930415_20180221_01_T2	LT50220071993105KIS00
LT05_L1TP_020007_19930417_20180221_01_T1	LT50200071993107KIS00
LT05_L1TP_018007_19930419_20180220_01_T2	LT50180071993109KIS00
LT05_L1TP_021007_19930424_20180221_01_T1	LT50210071993114KIS00
LT05_L1TP_019007_19930426_20180221_01_T2	LT50190071993116KIS00
LT05_L1GS_020007_19930503_20180221_01_T2	LT50200071993123KIS00
LT05_L1TP_018007_19930505_20180220_01_T2	LT50180071993125KIS00
LT05_L1TP_021007_19930510_20180221_01_T1	LT50210071993130KIS00
LT05_L1GS_019007_19930512_20180221_01_T2	LT50190071993132KIS00
LT05_L1GS_021007_19930526_20180221_01_T2	LT50210071993146KIS00
LT05_L1TP_019007_19930528_20180221_01_T2	LT50190071993148KIS00
LT05_L1TP_022007_19930602_20180221_01_T1	LT50220071993153KIS00
LT05_L1TP_020007_19930604_20180221_01_T1	LT50200071993155KIS00
LT05_L1GS_021007_19930611_20180221_01_T2	LT50210071993162KIS00
LT05_L1GS_019007_19930613_20180221_01_T2	LT50190071993164KIS00
LT05_L1GS_018007_19930622_20180220_01_T2	LT50180071993173KIS00
LT05_L1GS_018007_19930708_20180220_01_T2	LT50180071993189KIS00
