LM05_L1TP_231013_19860911_20180401_01_T2	LM52310131986254AAA03
LM05_L1TP_231014_19860911_20180401_01_T2	LM52310141986254AAA04
LM05_L1TP_231013_19860826_20180401_01_T2	LM52310131986238AAA03
LM05_L1TP_231014_19860826_20180401_01_T2	LM52310141986238AAA03
LM05_L1GS_231013_19860810_20180401_01_T2	LM52310131986222AAA03
LM05_L1GS_231014_19860810_20180401_01_T2	LM52310141986222AAA03
LM05_L1GS_231013_19860709_20180401_01_T2	LM52310131986190AAA03
LM05_L1TP_231014_19860709_20180401_01_T2	LM52310141986190AAA03
LM05_L1GS_231013_19850823_20180407_01_T2	LM52310131985235FFF03
LM05_L1GS_231014_19850823_20180407_01_T2	LM52310141985235FFF03
LM05_L1GS_231013_19850807_20180407_01_T2	LM52310131985219AAA05
LM05_L1TP_231014_19850807_20180407_01_T2	LM52310141985219AAA03
LM05_L1GS_231013_19850722_20180407_01_T2	LM52310131985203AAA03
LM05_L1TP_231014_19850722_20180407_01_T2	LM52310141985203AAA03
LM01_L1TP_001013_19721014_20180429_01_T2	LM10010131972288AAA05
LM01_L1TP_251013_19720907_20180429_01_T2	LM12510131972251AAA05
LM01_L1TP_250013_19720906_20180429_01_T2	LM12500131972250AAA05
LM01_L1TP_250014_19720906_20180429_01_T2	LM12500141972250AAA05
