LC08_L1TP_232013_20190625_20190625_01_RT	LC82320132019176LGN00
LC08_L1TP_232014_20190625_20190625_01_RT	LC82320142019176LGN00
LC08_L1TP_076231_20190620_20190621_01_RT	LC80762312019171LGN00
LC08_L1TP_078230_20190618_20190619_01_RT	LC80782302019169LGN00
LC08_L1TP_231014_20190618_20190618_01_RT	LC82310142019169LGN00
LC08_L1TP_233013_20190616_20190620_01_T1	LC82330132019167LGN00
LC08_L1TP_232013_20190609_20190619_01_T1	LC82320132019160LGN00
LC08_L1TP_076231_20190604_20190618_01_T1	LC80762312019155LGN00
LC08_L1TP_233013_20190531_20190605_01_T1	LC82330132019151LGN00
LC08_L1TP_232013_20190524_20190604_01_T1	LC82320132019144LGN00
LC08_L1TP_232013_20190508_20190521_01_T1	LC82320132019128LGN00
LC08_L1TP_232014_20190305_20190309_01_T1	LC82320142019064LGN00
LC08_L1TP_231014_20190210_20190222_01_T1	LC82310142019041LGN00
LC08_L1TP_231014_20190125_20190206_01_T1	LC82310142019025LGN00
LC08_L1TP_231014_20181021_20181031_01_T1	LC82310142018294LGN00
LC08_L1TP_232013_20180926_20181009_01_T1	LC82320132018269LGN00
LC08_L1TP_232014_20180926_20181009_01_T1	LC82320142018269LGN00
LC08_L1TP_231014_20180919_20180928_01_T1	LC82310142018262LGN00
LC08_L1TP_232013_20180724_20180731_01_T1	LC82320132018205LGN00
LC08_L1TP_232014_20180724_20180731_01_T1	LC82320142018205LGN00
LC08_L1TP_233013_20180715_20180730_01_T1	LC82330132018196LGN00
LC08_L1TP_232013_20180622_20180703_01_T1	LC82320132018173LGN00
LC08_L1TP_076231_20180617_20180703_01_T2	LC80762312018168LGN00
LC08_L1TP_232013_20180606_20180615_01_T1	LC82320132018157LGN00
LC08_L1TP_233013_20180528_20180605_01_T2	LC82330132018148LGN00
LC08_L1TP_232013_20180505_20180517_01_T1	LC82320132018125LGN00
LC08_L1TP_233013_20180426_20180502_01_T2	LC82330132018116LGN00
LC08_L1TP_231014_20180311_20180320_01_T2	LC82310142018070LGN00
LC08_L1TP_232013_20171025_20171107_01_T1	LC82320132017298LGN00
LC08_L1TP_233013_20170930_20171013_01_T1	LC82330132017273LGN00
LC08_L1TP_232013_20170907_20170926_01_T1	LC82320132017250LGN00
LC08_L1TP_232014_20170907_20170926_01_T1	LC82320142017250LGN00
LC08_L1TP_231014_20170831_20170915_01_T1	LC82310142017243LGN00
