LM01_L1TP_250014_19720906_20180429_01_T2	LM12500141972250AAA05
LM01_L1TP_250013_19720906_20180429_01_T2	LM12500131972250AAA05
LM01_L1TP_251013_19720907_20180429_01_T2	LM12510131972251AAA05
LM01_L1TP_001013_19721014_20180429_01_T2	LM10010131972288AAA05
LT05_L1GS_232014_19840507_20170220_01_T2	LT52320141984128KIS00
LT05_L1GS_232013_19840507_20170220_01_T2	LT52320131984128KIS00
LT05_L1GS_233013_19850330_20170219_01_T2	LT52330131985089KIS00
LT05_L1TP_231014_19850401_20170219_01_T2	LT52310141985091KIS00
LT05_L1TP_232014_19850526_20170219_01_T1	LT52320141985146KIS00
LT05_L1TP_232013_19850526_20170219_01_T1	LT52320131985146KIS00
LT05_L1GS_233013_19850602_20170219_01_T2	LT52330131985153KIS00
LT05_L1TP_231014_19850604_20170219_01_T1	LT52310141985155KIS00
LT05_L1TP_232014_19850611_20170219_01_T1	LT52320141985162KIS00
LT05_L1GS_232013_19850611_20170219_01_T2	LT52320131985162KIS00
LT05_L1TP_231014_19850706_20170219_01_T1	LT52310141985187KIS00
LT05_L1TP_232013_19850713_20170219_01_T1	LT52320131985194KIS00
LM05_L1TP_231014_19850722_20180407_01_T2	LM52310141985203AAA03
LM05_L1GS_231013_19850722_20180407_01_T2	LM52310131985203AAA03
LM05_L1TP_231014_19850807_20180407_01_T2	LM52310141985219AAA03
LM05_L1GS_231013_19850807_20180407_01_T2	LM52310131985219AAA05
LT05_L1TP_232014_19850814_20170219_01_T2	LT52320141985226KIS00
LM05_L1GS_231014_19850823_20180407_01_T2	LM52310141985235FFF03
LM05_L1GS_231013_19850823_20180407_01_T2	LM52310131985235FFF03
LT05_L1TP_232014_19850830_20170218_01_T1	LT52320141985242KIS00
LT05_L1TP_232013_19850830_20170218_01_T1	LT52320131985242KIS00
LT05_L1TP_232013_19851001_20170218_01_T2	LT52320131985274KIS00
LT05_L1GS_233013_19860418_20170218_01_T2	LT52330131986108KIS00
LT05_L1TP_233013_19860504_20170218_01_T1	LT52330131986124KIS00
LT05_L1TP_231014_19860506_20170218_01_T1	LT52310141986126KIS00
LT05_L1TP_232014_19860513_20170218_01_T1	LT52320141986133KIS00
LT05_L1TP_232013_19860513_20170218_01_T1	LT52320131986133KIS00
LT05_L1TP_231014_19860522_20170217_01_T1	LT52310141986142KIS00
LT05_L1TP_232014_19860630_20170217_01_T1	LT52320141986181KIS00
LT05_L1TP_232013_19860630_20170217_01_T1	LT52320131986181KIS00
LM05_L1TP_231014_19860709_20180401_01_T2	LM52310141986190AAA03
LM05_L1GS_231013_19860709_20180401_01_T2	LM52310131986190AAA03
LT05_L1TP_232014_19860716_20170217_01_T1	LT52320141986197KIS00
LT05_L1TP_232013_19860716_20170217_01_T1	LT52320131986197KIS00
LT05_L1TP_233013_19860723_20170217_01_T2	LT52330131986204KIS00
LT05_L1TP_231014_19860725_20170217_01_T1	LT52310141986206KIS00
