LM05_L1TP_009011_19850905_20180407_01_T2	LM50090111985248FFF03
LM05_L1TP_010011_19850811_20180407_01_T2	LM50100111985223AAA03
LM02_L1TP_012011_19801010_20180418_01_T2	LM20120111980284PAC01
LM02_L1TP_012011_19770920_20180423_01_T2	LM20120111977263PAC01
LM02_L1GS_010011_19760520_20180423_01_T2	LM20100111976141FAK03
LM02_L1GS_009011_19760519_20180423_01_T2	LM20090111976140FAK03
LM02_L1GS_009012_19760519_20180423_01_T2	LM20090121976140FAK03
LM02_L1TP_012011_19760504_20180424_01_T2	LM20120111976125AAA05
LM02_L1TP_011011_19760503_20180424_01_T2	LM20110111976124AAA05
LM02_L1GS_010011_19760502_20180424_01_T2	LM20100111976123FAK03
LM02_L1GS_012011_19760416_20180424_01_T2	LM20120111976107GDS03
LM02_L1GS_009012_19760413_20180424_01_T2	LM20090121976104AAA02
LM02_L1TP_012011_19750528_20180425_01_T2	LM20120111975148AAA02
LM01_L1GS_009011_19730806_20180428_01_T2	LM10090111973218AAA02
LM01_L1TP_010011_19730527_20180428_01_T2	LM10100111973147AAA02
LM01_L1GS_009011_19721005_20180429_01_T2	LM10090111972279FAK02
LM01_L1TP_010011_19721005_20180429_01_T2	LM10100111972279AAA04
