LC08_L1TP_010011_20170920_20171012_01_T1	LC80100112017263LGN00
LC08_L1TP_008011_20170906_20170917_01_T1	LC80080112017249LGN00
LC08_L1TP_008012_20170906_20170917_01_T1	LC80080122017249LGN00
LC08_L1TP_010011_20170904_20170916_01_T1	LC80100112017247LGN00
LC08_L1TP_008012_20170821_20170911_01_T1	LC80080122017233LGN00
LC08_L1TP_009011_20170812_20170824_01_T1	LC80090112017224LGN00
LC08_L1TP_008011_20170805_20170812_01_T1	LC80080112017217LGN00
LC08_L1TP_008012_20170805_20170812_01_T1	LC80080122017217LGN00
LC08_L1TP_010011_20170803_20170812_01_T1	LC80100112017215LGN00
LC08_L1TP_009011_20170727_20170810_01_T1	LC80090112017208LGN00
LC08_L1TP_010011_20170718_20170727_01_T1	LC80100112017199LGN00
LC08_L1TP_009011_20170711_20170726_01_T1	LC80090112017192LGN01
LC08_L1TP_082233_20170711_20170725_01_T1	LC80822332017192LGN00
LC08_L1TP_008011_20170602_20170615_01_T1	LC80080112017153LGN00
LC08_L1TP_008012_20170602_20170615_01_T1	LC80080122017153LGN00
LC08_L1TP_010011_20170531_20180125_01_T1	LC80100112017151LGN01
LC08_L1TP_008011_20170517_20170525_01_T1	LC80080112017137LGN00
LC08_L1TP_010011_20170515_20170525_01_T1	LC80100112017135LGN00
LC08_L1TP_008011_20170501_20170515_01_T1	LC80080112017121LGN00
LC08_L1TP_008012_20170501_20170515_01_T1	LC80080122017121LGN00
LC08_L1TP_010011_20170429_20170515_01_T1	LC80100112017119LGN00
LC08_L1TP_008011_20170415_20170501_01_T1	LC80080112017105LGN00
LC08_L1TP_008012_20170415_20170501_01_T1	LC80080122017105LGN00
LC08_L1TP_009011_20170406_20170414_01_T1	LC80090112017096LGN00
LC08_L1TP_008011_20170330_20170414_01_T1	LC80080112017089LGN00
LC08_L1TP_008012_20170330_20170414_01_T1	LC80080122017089LGN00
LC08_L1TP_010011_20170328_20170414_01_T1	LC80100112017087LGN00
LC08_L1TP_009011_20170305_20170316_01_T1	LC80090112017064LGN00
LC08_L1TP_010011_20170224_20170301_01_T1	LC80100112017055LGN00
LC08_L1TP_009011_20170217_20170228_01_T1	LC80090112017048LGN00
LC08_L1TP_009011_20160926_20170320_01_T1	LC80090112016270LGN01
LC08_L1TP_008011_20160903_20170321_01_T1	LC80080112016247LGN01
LC08_L1TP_008012_20160903_20170321_01_T1	LC80080122016247LGN01
LC08_L1TP_008011_20160818_20170322_01_T1	LC80080112016231LGN01
LC08_L1TP_008012_20160818_20170322_01_T1	LC80080122016231LGN01
LC08_L1TP_010011_20160816_20170322_01_T1	LC80100112016229LGN01
LC08_L1TP_009011_20160809_20170322_01_T1	LC80090112016222LGN01
LC08_L1TP_008011_20160802_20170322_01_T1	LC80080112016215LGN01
LC08_L1TP_010011_20160731_20170322_01_T1	LC80100112016213LGN01
LC08_L1TP_009011_20160724_20170322_01_T1	LC80090112016206LGN01
LC08_L1TP_082233_20160724_20170322_01_T1	LC80822332016206LGN01
LC08_L1TP_084233_20160722_20170322_01_T1	LC80842332016204LGN01
LC08_L1TP_008011_20160717_20180130_01_T1	LC80080112016199LGN02
LC08_L1TP_010011_20160715_20180130_01_T1	LC80100112016197LGN02
LC08_L1TP_083233_20160715_20170323_01_T1	LC80832332016197LGN01

