LM05_L1GS_229012_19860913_20180401_01_T2	LM52290121986256AAA03
LM05_L1GS_231012_19860911_20180401_01_T2	LM52310121986254AAA03
LM05_L1GS_230012_19860904_20180401_01_T2	LM52300121986247AAA03
LM05_L1GS_229012_19860828_20180401_01_T2	LM52290121986240AAA04
LM05_L1GS_231012_19860826_20180401_01_T2	LM52310121986238AAA03
LM05_L1GS_230012_19860819_20180401_01_T2	LM52300121986231AAA03
LM05_L1GS_229012_19860812_20180401_01_T2	LM52290121986224AAA03
LM05_L1GS_231012_19860810_20180401_01_T2	LM52310121986222AAA03
LM05_L1GS_230012_19860803_20180401_01_T2	LM52300121986215AAA06
LM05_L1GS_229012_19860711_20180401_01_T2	LM52290121986192AAA03
LM05_L1GS_231012_19860709_20180401_01_T2	LM52310121986190AAA03
LM05_L1GS_231012_19850823_20180407_01_T2	LM52310121985235FFF03
LM05_L1GS_229012_19850809_20180407_01_T2	LM52290121985221AAA03
LM05_L1GS_231012_19850807_20180407_01_T2	LM52310121985219AAA03
LM05_L1GS_230012_19850731_20180407_01_T2	LM52300121985212AAA03
LM05_L1GS_229012_19850724_20180407_01_T2	LM52290121985205AAA03
LM05_L1GS_231012_19850722_20180407_01_T2	LM52310121985203AAA03
LM05_L1GS_230012_19850715_20180407_01_T2	LM52300121985196AAA03
LM05_L1GS_229012_19850708_20180406_01_T2	LM52290121985189AAA05
LM01_L1TP_250011_19720906_20180429_01_T2	LM12500111972250AAA05
LM01_L1TP_250012_19720906_20180429_01_T2	LM12500121972250AAA05
