LM01_L1TP_250012_19720906_20180429_01_T2	LM12500121972250AAA05
LM01_L1TP_250011_19720906_20180429_01_T2	LM12500111972250AAA05
LT05_L1GS_230012_19840930_20170220_01_T2	LT52300121984274XXX02
LT05_L1TP_229012_19850419_20170219_01_T2	LT52290121985109KIS00
LT05_L1TP_230012_19850512_20170219_01_T1	LT52300121985132KIS00
LT05_L1TP_231012_19850604_20170219_01_T1	LT52310121985155KIS00
LT05_L1TP_229012_19850606_20170219_01_T2	LT52290121985157KIS00
LT05_L1TP_230012_19850613_20170219_01_T1	LT52300121985164KIS00
LT05_L1TP_231012_19850706_20170219_01_T1	LT52310121985187KIS00
LM05_L1GS_229012_19850708_20180406_01_T2	LM52290121985189AAA05
LM05_L1GS_230012_19850715_20180407_01_T2	LM52300121985196AAA03
LM05_L1GS_231012_19850722_20180407_01_T2	LM52310121985203AAA03
LM05_L1GS_229012_19850724_20180407_01_T2	LM52290121985205AAA03
LT05_L1TP_229012_19850724_20170219_01_T1	LT52290121985205KIS08
LM05_L1GS_230012_19850731_20180407_01_T2	LM52300121985212AAA03
LM05_L1GS_231012_19850807_20180407_01_T2	LM52310121985219AAA03
LM05_L1GS_229012_19850809_20180407_01_T2	LM52290121985221AAA03
LT05_L1TP_229012_19850809_20170219_01_T1	LT52290121985221XXX08
LT05_L1TP_230012_19850816_20170219_01_T1	LT52300121985228KIS00
LM05_L1GS_231012_19850823_20180407_01_T2	LM52310121985235FFF03
LT05_L1TP_229012_19850825_20170218_01_T1	LT52290121985237KIS00
LT05_L1TP_231012_19850908_20170218_01_T1	LT52310121985251KIS00
LT05_L1TP_230012_19850917_20170218_01_T2	LT52300121985260KIS00
LT05_L1TP_229012_19850926_20170218_01_T1	LT52290121985269KIS00
LT05_L1TP_230012_19851003_20170218_01_T1	LT52300121985276KIS00
LT05_L1GS_231012_19860506_20170218_01_T2	LT52310121986126KIS00
LT05_L1TP_231012_19860522_20170217_01_T2	LT52310121986142KIS00
LT05_L1TP_230012_19860531_20170217_01_T1	LT52300121986151KIS00
LT05_L1TP_230012_19860616_20170217_01_T1	LT52300121986167KIS00
LT05_L1TP_229012_19860625_20170217_01_T1	LT52290121986176KIS00
LM05_L1GS_231012_19860709_20180401_01_T2	LM52310121986190AAA03
LM05_L1GS_229012_19860711_20180401_01_T2	LM52290121986192AAA03
LT05_L1TP_231012_19860725_20170217_01_T1	LT52310121986206KIS00
LM05_L1GS_230012_19860803_20180401_01_T2	LM52300121986215AAA06
LT05_L1TP_230012_19860803_20170217_01_T1	LT52300121986215XXX04
LM05_L1GS_231012_19860810_20180401_01_T2	LM52310121986222AAA03
LM05_L1GS_229012_19860812_20180401_01_T2	LM52290121986224AAA03
LM05_L1GS_230012_19860819_20180401_01_T2	LM52300121986231AAA03
LT05_L1TP_230012_19860819_20170216_01_T1	LT52300121986231XXX08
LM05_L1GS_231012_19860826_20180401_01_T2	LM52310121986238AAA03
LM05_L1GS_229012_19860828_20180401_01_T2	LM52290121986240AAA04
LT05_L1TP_229012_19860828_20170216_01_T1	LT52290121986240XXX08
LM05_L1GS_230012_19860904_20180401_01_T2	LM52300121986247AAA03
LT05_L1TP_230012_19860904_20170216_01_T1	LT52300121986247XXX08
LM05_L1GS_231012_19860911_20180401_01_T2	LM52310121986254AAA03
LT05_L1TP_231012_19860911_20170216_01_T1	LT52310121986254XXX04
LM05_L1GS_229012_19860913_20180401_01_T2	LM52290121986256AAA03
LT05_L1TP_229012_19860913_20170216_01_T1	LT52290121986256XXX08
LT05_L1TP_230012_19860920_20170216_01_T1	LT52300121986263KIS00
LT05_L1GS_231012_19860927_20170216_01_T2	LT52310121986270KIS00
LT05_L1TP_230012_19870416_20170213_01_T2	LT52300121987106KIS00
LT05_L1TP_229012_19870511_20170213_01_T2	LT52290121987131KIS00
LT05_L1TP_230012_19870518_20170212_01_T2	LT52300121987138KIS00
LT05_L1TP_229012_19870612_20170212_01_T1	LT52290121987163KIS00
LT05_L1TP_230012_19870619_20170212_01_T2	LT52300121987170KIS00
LT05_L1TP_231012_19870728_20170211_01_T1	LT52310121987209KIS00
LT05_L1TP_231012_19870813_20170211_01_T1	LT52310121987225KIS00
LT05_L1TP_230012_19870822_20170211_01_T1	LT52300121987234KIS00
LT05_L1TP_229012_19870831_20170211_01_T2	LT52290121987243KIS00
LT05_L1TP_229012_19870916_20170211_01_T1	LT52290121987259KIS00
LT05_L1TP_230012_19870923_20170211_01_T1	LT52300121987266KIS00
LT05_L1TP_230012_19871009_20170210_01_T2	LT52300121987282KIS00
LT05_L1TP_229012_19871018_20170210_01_T1	LT52290121987291KIS00
LT05_L1TP_229012_19880411_20170209_01_T2	LT52290121988102KIS00
LT05_L1TP_229012_19880513_20170208_01_T1	LT52290121988134KIS00
LT05_L1TP_231012_19880527_20170208_01_T1	LT52310121988148KIS00
LT05_L1TP_229012_19880529_20170208_01_T1	LT52290121988150KIS00
LT05_L1TP_231012_19880628_20170208_01_T1	LT52310121988180KIS00
LT05_L1TP_230012_19880707_20170208_01_T1	LT52300121988189KIS00
