LT05_L1TP_045001_20090615_20161028_01_T1	LT50450012009166KIS00
LT05_L1TP_040001_20090612_20161025_01_T1	LT50400012009163KIS00
LT05_L1TP_040001_20060807_20161119_01_T1	LT50400012006219KIS00
LT05_L1TP_042001_20060805_20161119_01_T1	LT50420012006217KIS00
LT05_L1TP_044001_20060803_20161119_01_T1	LT50440012006215KIS00
LT05_L1TP_044001_20060718_20161120_01_T1	LT50440012006199KIS00
LT05_L1TP_040001_20060706_20161120_01_T1	LT50400012006187KIS00
LT05_L1TP_042001_20060704_20161120_01_T1	LT50420012006185KIS00
LT05_L1TP_044001_20060702_20161120_01_T1	LT50440012006183KIS00
LT05_L1TP_045001_20060623_20161121_01_T1	LT50450012006174KIS00
LT05_L1TP_042001_20060618_20161121_01_T1	LT50420012006169KIS00
LT05_L1TP_044001_20060616_20161121_01_T1	LT50440012006167KIS00
