LE07_L1TP_043001_20130722_20161123_01_T1	LE70430012013203ASN00
LE07_L1TP_042001_20130715_20161123_01_T1	LE70420012013196ASN00
LE07_L1TP_044001_20130713_20161123_01_T1	LE70440012013194ASN00
LE07_L1TP_039001_20130710_20161123_01_T1	LE70390012013191ASN00
LE07_L1TP_043001_20130706_20161123_01_T1	LE70430012013187ASN00
LE07_L1TP_042001_20130629_20161124_01_T1	LE70420012013180ASN00
LE07_L1TP_041001_20130622_20161123_01_T1	LE70410012013173ASN00
LE07_L1TP_044001_20130611_20161124_01_T1	LE70440012013162ASN00
LE07_L1TP_041001_20120721_20161130_01_T1	LE70410012012203ASN00
LE07_L1TP_043001_20120719_20161130_01_T1	LE70430012012201ASN00
LE07_L1TP_041001_20120705_20161130_01_T1	LE70410012012187ASN00
LE07_L1TP_043001_20120703_20161130_01_T1	LE70430012012185ASN00
LE07_L1TP_044001_20110724_20161207_01_T1	LE70440012011205EDC00
LE07_L1TP_041001_20110719_20161207_01_T1	LE70410012011200EDC00
LE07_L1TP_045001_20110715_20161207_01_T1	LE70450012011196EDC00
LE07_L1TP_040001_20110712_20161208_01_T1	LE70400012011193EDC00
LE07_L1TP_044001_20110708_20161207_01_T1	LE70440012011189EDC00
LE07_L1TP_039001_20110705_20161208_01_T1	LE70390012011186EDC00
LE07_L1TP_045001_20110629_20161208_01_T1	LE70450012011180EDC00
LE07_L1TP_040001_20110626_20170501_01_T1	LE70400012011177EDC00
LE07_L1TP_044001_20110622_20161208_01_T1	LE70440012011173EDC00
LE07_L1TP_039001_20110619_20161208_01_T1	LE70390012011170EDC00
LE07_L1TP_045001_20110613_20161208_01_T1	LE70450012011164EDC00
LE07_L1TP_040001_20110610_20161208_01_T1	LE70400012011161EDC00
LE07_L1TP_042001_20110608_20161208_01_T1	LE70420012011159EDC00
LE07_L1TP_041001_20110601_20161209_01_T1	LE70410012011152EDC00
LE07_L1TP_043001_20100831_20161212_01_T1	LE70430012010243EDC00
LE07_L1TP_045001_20100829_20161213_01_T1	LE70450012010241EDC00
LE07_L1TP_041001_20100817_20161213_01_T1	LE70410012010229ASN00
LE07_L1TP_043001_20100815_20161213_01_T1	LE70430012010227EDC00
LE07_L1TP_045001_20100813_20161213_01_T1	LE70450012010225EDC00
LE07_L1TP_040001_20100709_20161213_01_T1	LE70400012010190EDC00
LE07_L1TP_044001_20100705_20161214_01_T1	LE70440012010186ASN00
LE07_L1TP_039001_20100702_20161213_01_T1	LE70390012010183EDC01
LE07_L1TP_041001_20100630_20161214_01_T1	LE70410012010181EDC00
LE07_L1TP_043001_20100628_20161213_01_T1	LE70430012010179EDC00
LE07_L1TP_045001_20100626_20161213_01_T1	LE70450012010177EDC00
LE07_L1TP_040001_20100623_20161213_01_T1	LE70400012010174EDC00
LE07_L1TP_041001_20100614_20161213_01_T1	LE70410012010165EDC00
LE07_L1TP_043001_20100612_20161214_01_T1	LE70430012010163EDC00
LE07_L1TP_040001_20100607_20161214_01_T1	LE70400012010158ASN00
LE07_L1TP_039001_20090731_20161218_01_T1	LE70390012009212EDC00
LE07_L1TP_043001_20090727_20161218_01_T1	LE70430012009208EDC00
LE07_L1TP_040001_20090722_20161219_01_T1	LE70400012009203EDC00
LE07_L1TP_042001_20090720_20161220_01_T1	LE70420012009201EDC00
LE07_L1TP_044001_20090718_20161219_01_T1	LE70440012009199EDC00
LE07_L1TP_039001_20090715_20161219_01_T1	LE70390012009196ASN00
LE07_L1TP_041001_20090713_20161220_01_T1	LE70410012009194EDC00
LE07_L1TP_045001_20090709_20161219_01_T1	LE70450012009190EDC00
LE07_L1TP_042001_20090704_20161219_01_T1	LE70420012009185EDC00
LE07_L1TP_043001_20090625_20161221_01_T1	LE70430012009176EDC00
LE07_L1TP_045001_20090623_20161221_01_T1	LE70450012009174EDC00
LE07_L1TP_044001_20090616_20161219_01_T1	LE70440012009167EDC00
LE07_L1TP_039001_20090613_20161219_01_T1	LE70390012009164EDC00
LE07_L1TP_041001_20090611_20161219_01_T1	LE70410012009162EDC00
LE07_L1TP_044001_20080731_20161225_01_T1	LE70440012008213EDC00
LE07_L1TP_039001_20080728_20161225_01_T1	LE70390012008210ASN00
LE07_L1TP_045001_20080706_20161228_01_T1	LE70450012008188EDC00
LE07_L1TP_040001_20080703_20161228_01_T1	LE70400012008185ASN00
LE07_L1TP_042001_20080701_20161228_01_T1	LE70420012008183EDC00
LE07_L1TP_044001_20080629_20161228_01_T1	LE70440012008181EDC00
LE07_L1TP_040001_20080617_20161228_01_T1	LE70400012008169EDC00
LE07_L1TP_044001_20080613_20161228_01_T1	LE70440012008165EDC00
LE07_L1TP_041001_20080608_20161228_01_T1	LE70410012008160ASN00
LE07_L1TP_043001_20080606_20161228_01_T1	LE70430012008158EDC00
