LM04_L1GS_011010_19840316_20180408_01_T2	LM40110101984076AAA04
LM03_L1TP_017009_19820417_20180413_01_T2	LM30170091982107PAC01
LM02_L1TP_017009_19760527_20180423_01_T2	LM20170091976148GMD03
LM02_L1GS_013010_19760505_20180424_01_T2	LM20130101976126GDS07
LM02_L1GS_016009_19760420_20180424_01_T2	LM20160091976111GMD03
LM02_L1TP_015009_19760419_20180424_01_T2	LM20150091976110AAA02
LM02_L1GS_014009_19760418_20180424_01_T2	LM20140091976109GMD03
LM02_L1TP_014010_19760418_20180424_01_T2	LM20140101976109GMD03
LM02_L1GS_013010_19760417_20180424_01_T2	LM20130101976108AAA02
LM02_L1TP_014009_19760331_20180424_01_T2	LM20140091976091AAA02
LM02_L1TP_016009_19750408_20180425_01_T2	LM20160091975098AAA05
LM01_L1TP_015009_19730321_20180427_01_T2	LM10150091973080AAA04
LM01_L1TP_014009_19730320_20180427_01_T2	LM10140091973079AAA07
