LE07_L1TP_014009_20130929_20161120_01_T1	LE70140092013272ASN00
LE07_L1TP_011010_20130823_20161122_01_T1	LE70110102013235EDC00
LE07_L1TP_011010_20130706_20161123_01_T1	LE70110102013187EDC00
LE07_L1TP_014009_20130609_20161123_01_T1	LE70140092013160EDC00
LE07_L1TP_011010_20130519_20161124_01_T1	LE70110102013139EDC00
LE07_L1TP_013009_20130517_20161124_01_T1	LE70130092013137EDC00
LE07_L1TP_012009_20130424_20161125_01_T2	LE70120092013114EDC00
LE07_L1TP_011010_20130417_20161124_01_T1	LE70110102013107EDC00
LE07_L1TP_013009_20130330_20161125_01_T1	LE70130092013089EDC00
LE07_L1TP_012009_20130323_20161124_01_T1	LE70120092013082EDC00
LE07_L1TP_012010_20130323_20161124_01_T1	LE70120102013082EDC00
LE07_L1TP_014009_20120926_20161129_01_T1	LE70140092012270ASN00
LE07_L1TP_012009_20120827_20161130_01_T1	LE70120092012240EDC00
LE07_L1TP_012010_20120827_20161129_01_T1	LE70120102012240EDC00
LE07_L1TP_011010_20120820_20161129_01_T1	LE70110102012233EDC00
LE07_L1TP_013009_20120802_20161129_01_T1	LE70130092012215ASN00
LE07_L1TP_012009_20120726_20161201_01_T1	LE70120092012208ASN00
LE07_L1TP_011010_20120719_20161201_01_T1	LE70110102012201ASN00
LE07_L1TP_013009_20120717_20161130_01_T1	LE70130092012199EDC00
LE07_L1TP_014009_20120708_20161130_01_T1	LE70140092012190ASN00
LE07_L1TP_014009_20120622_20161130_01_T1	LE70140092012174ASN00
LE07_L1TP_011010_20120601_20161201_01_T1	LE70110102012153EDC00
LE07_L1TP_013009_20120530_20161201_01_T1	LE70130092012151ASN00
LE07_L1TP_013009_20120428_20161202_01_T1	LE70130092012119ASN00
LE07_L1TP_012009_20120421_20161202_01_T1	LE70120092012112ASN00
LE07_L1TP_012010_20120421_20161203_01_T1	LE70120102012112ASN00
LE07_L1TP_011010_20120329_20161203_01_T1	LE70110102012089EDC00
LE07_L1TP_012010_20110926_20161206_01_T1	LE70120102011269EDC00
LE07_L1TP_014009_20110823_20161206_01_T1	LE70140092011235ASN00
LE07_L1TP_011010_20110818_20161206_01_T1	LE70110102011230EDC00
LE07_L1TP_011010_20110802_20161207_01_T1	LE70110102011214EDC00
LE07_L1TP_012010_20110708_20161207_01_T1	LE70120102011189EDC00
LE07_L1TP_011010_20110701_20161208_01_T1	LE70110102011182ASN00
LE07_L1TP_014009_20110620_20161209_01_T1	LE70140092011171EDC00
LE07_L1TP_011010_20110615_20161208_01_T1	LE70110102011166ASN00
LE07_L1TP_013009_20110613_20161208_01_T1	LE70130092011164ASN00
LE07_L1TP_012010_20110606_20161208_01_T1	LE70120102011157EDC00
LE07_L1TP_011010_20110530_20161208_01_T1	LE70110102011150ASN00
LE07_L1TP_013009_20110528_20161208_01_T1	LE70130092011148ASN00
LE07_L1TP_012009_20110521_20161209_01_T1	LE70120092011141EDC00
LE07_L1TP_012010_20110521_20161210_01_T1	LE70120102011141EDC00
LE07_L1TP_013009_20110512_20161209_01_T1	LE70130092011132EDC00
LE07_L1TP_012009_20110419_20161210_01_T1	LE70120092011109EDC00
LE07_L1TP_012010_20110419_20161210_01_T1	LE70120102011109EDC00
LE07_L1TP_011010_20110412_20161209_01_T1	LE70110102011102EDC00
LE07_L1TP_012010_20110403_20161209_01_T1	LE70120102011093EDC00
LE07_L1TP_014009_20100820_20161213_01_T1	LE70140092010232ASN00
LE07_L1TP_011010_20100815_20161213_01_T1	LE70110102010227ASN01
LE07_L1TP_013009_20100712_20161213_01_T1	LE70130092010193ASN00
LE07_L1TP_012009_20100705_20161213_01_T1	LE70120092010186EDC00
LE07_L1TP_012010_20100705_20161213_01_T1	LE70120102010186EDC00
LE07_L1TP_014009_20100703_20161213_01_T1	LE70140092010184EDC00
LE07_L1TP_014009_20100617_20161214_01_T1	LE70140092010168ASN00
LE07_L1TP_012009_20100603_20161214_01_T1	LE70120092010154ASN00
LE07_L1TP_013009_20100525_20161215_01_T1	LE70130092010145EDC00
LE07_L1TP_012009_20100518_20161214_01_T1	LE70120092010138EDC00
LE07_L1TP_012010_20100518_20161215_01_T1	LE70120102010138EDC00
LE07_L1TP_014009_20100516_20161214_01_T1	LE70140092010136EDC01
LE07_L1TP_011010_20100425_20161214_01_T1	LE70110102010115EDC00
LE07_L1TP_013009_20100423_20161214_01_T1	LE70130092010113EDC00
LE07_L1TP_011010_20100409_20161214_01_T1	LE70110102010099EDC00
LE07_L1TP_012009_20100331_20161215_01_T1	LE70120092010090EDC00
LE07_L1TP_012010_20100331_20161216_01_T1	LE70120102010090EDC00
LE07_L1TP_014009_20090902_20161220_01_T1	LE70140092009245EDC00
LE07_L1TP_013009_20090826_20161218_01_T1	LE70130092009238EDC00
LE07_L1TP_011010_20090812_20161218_01_T1	LE70110102009224EDC00
LE07_L1TP_013009_20090725_20161220_01_T1	LE70130092009206EDC00
LE07_L1TP_012009_20090718_20161219_01_T1	LE70120092009199EDC00
LE07_L1TP_012010_20090718_20161220_01_T1	LE70120102009199EDC00
LE07_L1TP_014009_20090716_20161219_01_T1	LE70140092009197ASN00
LE07_L1TP_011010_20090711_20161219_01_T1	LE70110102009192ASN00
LE07_L1TP_013009_20090709_20161219_01_T1	LE70130092009190EDC00
LE07_L1TP_012009_20090616_20161220_01_T1	LE70120092009167EDC00
LE07_L1TP_012010_20090616_20161222_01_T1	LE70120102009167EDC00
LE07_L1TP_014009_20090614_20161222_01_T1	LE70140092009165EDC00
LE07_L1TP_011010_20090524_20161222_01_T1	LE70110102009144EDC00
LE07_L1TP_013009_20090522_20161220_01_T1	LE70130092009142EDC00
LE07_L1TP_011010_20090508_20161220_01_T1	LE70110102009128EDC00
LE07_L1TP_013009_20090506_20161220_01_T1	LE70130092009126EDC01
LE07_L1TP_012010_20090429_20161220_01_T1	LE70120102009119EDC00
LE07_L1TP_014009_20090427_20161222_01_T1	LE70140092009117EDC00
