LC08_L1TP_012010_20141028_20170418_01_T1	LC80120102014301LGN02
LC08_L1TP_013009_20141003_20170418_01_T1	LC80130092014276LGN01
LC08_L1TP_014009_20140807_20170420_01_T1	LC80140092014219LGN01
LC08_L1TP_082234_20140804_20180202_01_T1	LC80822342014216LGN02
LC08_L1TP_082235_20140804_20180202_01_T1	LC80822352014216LGN02
LC08_L1TP_011010_20140802_20170420_01_T1	LC80110102014214LGN01
LC08_L1TP_083234_20140726_20170420_01_T1	LC80832342014207LGN01
LC08_L1TP_012009_20140724_20170421_01_T1	LC80120092014205LGN01
LC08_L1TP_082234_20140719_20170421_01_T1	LC80822342014200LGN01
LC08_L1TP_081235_20140711_20170421_01_T1	LC80812352014192LGN01
LC08_L1TP_012009_20140708_20170421_01_T1	LC80120092014189LGN01
LC08_L1TP_012010_20140708_20170421_01_T1	LC80120102014189LGN01
LC08_L1TP_082234_20140703_20170421_01_T1	LC80822342014184LGN01
LC08_L1TP_082235_20140703_20170421_01_T1	LC80822352014184LGN01
LC08_L1TP_011010_20140701_20170421_01_T1	LC80110102014182LGN01
LC08_L1TP_011010_20140615_20170421_01_T1	LC80110102014166LGN01
LC08_L1TP_013009_20140613_20170422_01_T1	LC80130092014164LGN01
LC08_L1TP_011010_20140530_20170422_01_T1	LC80110102014150LGN01
LC08_L1TP_013009_20140528_20170422_01_T1	LC80130092014148LGN01
LC08_L1TP_012009_20140505_20170422_01_T1	LC80120092014125LGN01
LC08_L1TP_014009_20140503_20170423_01_T1	LC80140092014123LGN01
LC08_L1TP_011010_20140428_20170423_01_T1	LC80110102014118LGN01
LC08_L1TP_012010_20140419_20170423_01_T1	LC80120102014109LGN01
LC08_L1TP_011010_20140412_20170423_01_T1	LC80110102014102LGN01
LC08_L1TP_013009_20140410_20170423_01_T1	LC80130092014100LGN01
LC08_L1TP_012010_20140403_20170424_01_T1	LC80120102014093LGN01
LC08_L1TP_011010_20140327_20170424_01_T1	LC80110102014086LGN01
LC08_L1TP_012010_20140318_20170425_01_T1	LC80120102014077LGN01
LC08_L1TP_011010_20140311_20170425_01_T1	LC80110102014070LGN01
LC08_L1TP_013009_20140309_20170425_01_T1	LC80130092014068LGN01
LC08_L1TP_012010_20140302_20170425_01_T1	LC80120102014061LGN01
LC08_L1TP_012010_20140214_20170425_01_T1	LC80120102014045LGN01
LC08_L1TP_012010_20131025_20170429_01_T1	LC80120102013298LGN01
LC08_L1TP_011010_20131002_20170502_01_T1	LC80110102013275LGN01
LC08_L1TP_013009_20130930_20170502_01_T1	LC80130092013273LGN01
LC08_L1TP_014009_20130921_20170502_01_T1	LC80140092013264LGN01
LC08_L1TP_011010_20130916_20170502_01_T1	LC80110102013259LGN01
LC08_L1TP_013009_20130914_20170502_01_T1	LC80130092013257LGN01
LC08_L1TP_012009_20130822_20170502_01_T1	LC80120092013234LGN01
LC08_L1TP_014009_20130820_20170502_01_T1	LC80140092013232LGN01
LC08_L1TP_011010_20130612_20170504_01_T1	LC80110102013163LGN01
LC08_L1TP_011010_20130527_20170504_01_T1	LC80110102013147LGN01
LC08_L1TP_013009_20130525_20170504_01_T1	LC80130092013145LGN01
LC08_L1TP_012009_20130518_20170504_01_T1	LC80120092013138LGN02
LC08_L1TP_014009_20130516_20170504_01_T1	LC80140092013136LGN02
LC08_L1TP_014009_20130430_20170504_01_T1	LC80140092013120LGN02
LC08_L1TP_013009_20130423_20170310_01_T1	LC80130092013113LGN03
LC08_L1TP_012009_20130409_20170505_01_T1	LC80120092013099LGN02
LC08_L1TP_012010_20130409_20170505_01_T1	LC80120102013099LGN02
LC08_L1TP_013009_20130330_20170505_01_T1	LC80130092013089LGN02
