LM01_L1TP_014009_19730320_20180427_01_T2	LM10140091973079AAA07
LM01_L1TP_015009_19730321_20180427_01_T2	LM10150091973080AAA04
LM02_L1TP_016009_19750408_20180425_01_T2	LM20160091975098AAA05
LM02_L1TP_014009_19760331_20180424_01_T2	LM20140091976091AAA02
LM02_L1GS_013010_19760417_20180424_01_T2	LM20130101976108AAA02
LM02_L1TP_014010_19760418_20180424_01_T2	LM20140101976109GMD03
LM02_L1GS_014009_19760418_20180424_01_T2	LM20140091976109GMD03
LM02_L1TP_015009_19760419_20180424_01_T2	LM20150091976110AAA02
LM02_L1GS_016009_19760420_20180424_01_T2	LM20160091976111GMD03
LM02_L1GS_013010_19760505_20180424_01_T2	LM20130101976126GDS07
LM02_L1TP_017009_19760527_20180423_01_T2	LM20170091976148GMD03
LM03_L1TP_017009_19820417_20180413_01_T2	LM30170091982107PAC01
LM04_L1GS_011010_19840316_20180408_01_T2	LM40110101984076AAA04
LT05_L1GS_012009_19850505_20170219_01_T2	LT50120091985125KIS00
LT05_L1TP_013009_19850512_20170219_01_T1	LT50130091985132KIS00
LT05_L1TP_013009_19850528_20170219_01_T1	LT50130091985148KIS00
LT05_L1TP_011010_19850530_20170219_01_T1	LT50110101985150KIS00
LT05_L1TP_013009_19850613_20170219_01_T1	LT50130091985164KIS00
LT05_L1TP_011010_19850615_20170219_01_T1	LT50110101985166KIS00
LT05_L1TP_014009_19850620_20170219_01_T1	LT50140091985171KIS00
LT05_L1TP_012010_19850622_20170219_01_T1	LT50120101985173KIS00
LT05_L1TP_012009_19850622_20170219_01_T1	LT50120091985173KIS00
LT05_L1TP_011010_19850701_20170219_01_T1	LT50110101985182KIS00
LT05_L1TP_012010_19850708_20170219_01_T1	LT50120101985189KIS00
LT05_L1TP_013009_19850715_20170219_01_T1	LT50130091985196KIS00
LT05_L1TP_014009_19850722_20170219_01_T1	LT50140091985203KIS00
LT05_L1TP_012009_19850724_20170219_01_T2	LT50120091985205KIS00
LT05_L1TP_011010_19850818_20170219_01_T1	LT50110101985230KIS00
LT05_L1TP_013009_19850901_20170218_01_T1	LT50130091985244KIS00
LT05_L1TP_011010_19850903_20170218_01_T1	LT50110101985246KIS00
LT05_L1TP_014009_19850908_20170218_01_T1	LT50140091985251KIS00
LT05_L1TP_012009_19850910_20170218_01_T1	LT50120091985253KIS00
LT05_L1TP_013009_19850917_20170218_01_T1	LT50130091985260KIS00
LT05_L1TP_014009_19860404_20170218_01_T1	LT50140091986094KIS00
LT05_L1TP_011010_19860501_20170218_01_T1	LT50110101986121KIS00
LT05_L1TP_013009_19860616_20170217_01_T1	LT50130091986167KIS00
LT05_L1TP_013009_19860702_20170217_01_T1	LT50130091986183KIS00
LT05_L1TP_012009_19860727_20170217_01_T1	LT50120091986208KIS00
LT05_L1TP_012009_19860828_20170216_01_T1	LT50120091986240KIS00
LT05_L1TP_013009_19860920_20170216_01_T1	LT50130091986263KIS00
LT05_L1TP_014009_19870407_20170213_01_T1	LT50140091987097KIS00
LT05_L1TP_012010_19870409_20170213_01_T1	LT50120101987099KIS00
LT05_L1TP_013009_19870518_20170212_01_T1	LT50130091987138KIS00
LT05_L1TP_012009_19870527_20170212_01_T2	LT50120091987147KIS00
LT05_L1TP_013009_19870603_20170212_01_T1	LT50130091987154KIS00
LT05_L1TP_011010_19870621_20170212_01_T1	LT50110101987172KIS00
LT05_L1TP_014009_19870626_20170212_01_T1	LT50140091987177KIS00
LT05_L1TP_014009_19870728_20170211_01_T1	LT50140091987209KIS00
LT05_L1TP_011010_19870808_20170211_01_T1	LT50110101987220KIS00
LT05_L1TP_011010_19870824_20170211_01_T1	LT50110101987236KIS00
LT05_L1GS_013009_19870907_20170211_01_T2	LT50130091987250KIS00
LT05_L1TP_014009_19870914_20170211_01_T1	LT50140091987257KIS00
LT05_L1TP_012010_19880326_20170209_01_T1	LT50120101988086KIS00
LT05_L1TP_011010_19880404_20170209_01_T1	LT50110101988095KIS00
LT05_L1GS_014009_19880409_20170209_01_T2	LT50140091988100KIS00
LT05_L1TP_012010_19880411_20170209_01_T1	LT50120101988102KIS00
LT05_L1TP_013009_19880418_20170209_01_T1	LT50130091988109KIS00
LT05_L1TP_011010_19880506_20170208_01_T1	LT50110101988127KIS00
LT05_L1TP_013009_19880520_20170208_01_T1	LT50130091988141KIS00
LT05_L1TP_011010_19880522_20170208_01_T1	LT50110101988143KIS00
LT05_L1TP_011010_19880607_20170208_01_T1	LT50110101988159KIS00
LT05_L1TP_011010_19880623_20170208_01_T1	LT50110101988175KIS00
LT05_L1TP_014009_19880628_20170208_01_T1	LT50140091988180KIS00
LT05_L1TP_011010_19880709_20170208_01_T1	LT50110101988191KIS00
LT05_L1TP_014009_19880831_20170206_01_T1	LT50140091988244KIS00
