LC08_L1TP_036001_20200716_20200716_01_RT	LC80360012020198LGN00
LC08_L1TP_038001_20200714_20200714_01_RT	LC80380012020196LGN00
LC08_L1TP_037001_20200707_20200707_01_RT	LC80370012020189LGN00
LC08_L1TP_036001_20200630_20200708_01_T1	LC80360012020182LGN00
LC08_L1TP_038001_20200628_20200708_01_T1	LC80380012020180LGN00
LC08_L1TP_040001_20200626_20200708_01_T1	LC80400012020178LGN00
LC08_L1TP_036001_20200614_20200626_01_T1	LC80360012020166LGN00
LC08_L1TP_040001_20200610_20200626_01_T1	LC80400012020162LGN00
LC08_L1TP_037001_20200605_20200608_01_T1	LC80370012020157LGN00
LC08_L1TP_039001_20200603_20200608_01_T1	LC80390012020155LGN00
LC08_L1TP_036001_20200529_20200608_01_T1	LC80360012020150LGN00
LC08_L1TP_037001_20200520_20200527_01_T1	LC80370012020141LGN00
LC08_L1TP_038001_20200511_20200526_01_T1	LC80380012020132LGN00
LC08_L1TP_040001_20200509_20200526_01_T1	LC80400012020130LGN00
LC08_L1TP_035001_20200506_20200509_01_T1	LC80350012020127LGN00
LC08_L1TP_037001_20200504_20200509_01_T1	LC80370012020125LGN00
LC08_L1TP_039001_20200502_20200509_01_T1	LC80390012020123LGN00
LC08_L1TP_036001_20200427_20200509_01_T1	LC80360012020118LGN00
LC08_L1TP_038001_20200425_20200509_01_T1	LC80380012020116LGN00
LC08_L1TP_035001_20200420_20200508_01_T1	LC80350012020111LGN00
LC08_L1TP_039001_20200416_20200423_01_T1	LC80390012020107LGN00
LC08_L1TP_036001_20200411_20200422_01_T1	LC80360012020102LGN00
LC08_L1TP_040001_20200407_20200410_01_T1	LC80400012020098LGN00
LC08_L1TP_039001_20200331_20200410_01_T1	LC80390012020091LGN00
LC08_L1TP_038001_20200324_20200409_01_T1	LC80380012020084LGN00
LC08_L1TP_040001_20200306_20200314_01_T1	LC80400012020066LGN00
LC08_L1TP_039001_20190921_20190926_01_T1	LC80390012019264LGN00
LC08_L1TP_036001_20190916_20190925_01_T1	LC80360012019259LGN00
LC08_L1TP_038001_20190813_20190820_01_T1	LC80380012019225LGN00
LC08_L1TP_036001_20190730_20190819_01_T1	LC80360012019211LGN00
LC08_L1TP_038001_20190728_20190801_01_T1	LC80380012019209LGN00
LC08_L1TP_036001_20190714_20190720_01_T1	LC80360012019195LGN00
LC08_L1TP_039001_20190703_20190718_01_T1	LC80390012019184LGN00
LC08_L1TP_038001_20190610_20190619_01_T1	LC80380012019161LGN00
LC08_L1TP_040001_20190608_20190619_01_T1	LC80400012019159LGN00
LC08_L1TP_037001_20190603_20190618_01_T1	LC80370012019154LGN00
LC08_L1TP_039001_20190601_20190605_01_T1	LC80390012019152LGN00
LC08_L1TP_038001_20190525_20190605_01_T1	LC80380012019145LGN00
LC08_L1TP_040001_20190523_20190604_01_T1	LC80400012019143LGN00
LC08_L1TP_036001_20190511_20190521_01_T1	LC80360012019131LGN00
LC08_L1TP_038001_20190509_20190521_01_T1	LC80380012019129LGN00
LC08_L1TP_040001_20190507_20190521_01_T1	LC80400012019127LGN00
LC08_L1TP_037001_20190502_20190508_01_T1	LC80370012019122LGN01
LC08_L1TP_036001_20190425_20190508_01_T1	LC80360012019115LGN00
LC08_L1TP_038001_20190423_20190507_01_T1	LC80380012019113LGN00
LC08_L1TP_040001_20190421_20190507_01_T1	LC80400012019111LGN00
LC08_L1TP_035001_20190418_20190423_01_T1	LC80350012019108LGN00
LC08_L1TP_037001_20190416_20190423_01_T1	LC80370012019106LGN00
LC08_L1TP_038001_20190407_20190422_01_T1	LC80380012019097LGN00
LC08_L1TP_040001_20190405_20190422_01_T1	LC80400012019095LGN00
LC08_L1TP_039001_20180918_20180928_01_T1	LC80390012018261LGN00
LC08_L1TP_036001_20180913_20180928_01_T1	LC80360012018256LGN00
LC08_L1TP_040001_20180909_20180913_01_T1	LC80400012018252LGN00
LC08_L1TP_037001_20180819_20180829_01_T1	LC80370012018231LGN01
LC08_L1TP_037001_20180803_20180814_01_T1	LC80370012018215LGN00
LC08_L1TP_039001_20180801_20180814_01_T1	LC80390012018213LGN00
LC08_L1TP_038001_20180725_20180731_01_T1	LC80380012018206LGN00
LC08_L1TP_040001_20180723_20180731_01_T1	LC80400012018204LGN00
LC08_L1TP_037001_20180718_20180731_01_T1	LC80370012018199LGN00
LC08_L1TP_037001_20180702_20180717_01_T1	LC80370012018183LGN00
LC08_L1TP_036001_20180625_20180704_01_T1	LC80360012018176LGN00
LC08_L1TP_040001_20180621_20180703_01_T1	LC80400012018172LGN00
LC08_L1TP_038001_20180607_20180615_01_T1	LC80380012018158LGN00
LC08_L1TP_040001_20180605_20180615_01_T1	LC80400012018156LGN00
LC08_L1TP_037001_20180531_20180614_01_T1	LC80370012018151LGN00
LC08_L1TP_039001_20180529_20180605_01_T1	LC80390012018149LGN00
LC08_L1TP_035001_20180517_20180604_01_T1	LC80350012018137LGN00
LC08_L1TP_039001_20180513_20180517_01_T1	LC80390012018133LGN00
LC08_L1TP_036001_20180508_20180517_01_T1	LC80360012018128LGN00
LC08_L1TP_035001_20180501_20180516_01_T1	LC80350012018121LGN00
LC08_L1TP_039001_20180427_20180502_01_T1	LC80390012018117LGN00
LC08_L1TP_036001_20180422_20180502_01_T1	LC80360012018112LGN00
LC08_L1TP_040001_20180418_20180501_01_T1	LC80400012018108LGN00
LC08_L1TP_035001_20180415_20180501_01_T1	LC80350012018105LGN00
LC08_L1TP_037001_20180413_20180417_01_T1	LC80370012018103LGN00
LC08_L1TP_039001_20180411_20180417_01_T1	LC80390012018101LGN00
LC08_L1TP_036001_20180406_20180417_01_T1	LC80360012018096LGN00
LC08_L1TP_038001_20180404_20180417_01_T1	LC80380012018094LGN00
LC08_L1TP_040001_20180402_20180416_01_T1	LC80400012018092LGN00
LC08_L1TP_037001_20180328_20180405_01_T1	LC80370012018087LGN00
LC08_L1TP_039001_20180326_20180404_01_T1	LC80390012018085LGN00
LC08_L1TP_036001_20180321_20180403_01_T1	LC80360012018080LGN00
LC08_L1TP_036001_20170926_20171013_01_T1	LC80360012017269LGN00
LC08_L1TP_038001_20170924_20171013_01_T1	LC80380012017267LGN00
LC08_L1TP_040001_20170922_20171012_01_T1	LC80400012017265LGN00
LC08_L1TP_036001_20170910_20170927_01_T1	LC80360012017253LGN00
LC08_L1TP_038001_20170908_20170927_01_T1	LC80380012017251LGN00
LC08_L1TP_039001_20170729_20170811_01_T1	LC80390012017210LGN00
LC08_L1TP_036001_20170724_20170809_01_T1	LC80360012017205LGN00
LC08_L1TP_038001_20170722_20170728_01_T1	LC80380012017203LGN00
LC08_L1TP_037001_20170715_20170727_01_T1	LC80370012017196LGN00
LC08_L1TP_039001_20170713_20170726_01_T1	LC80390012017194LGN00
LC08_L1TP_036001_20170708_20170717_01_T1	LC80360012017189LGN00
LC08_L1TP_038001_20170706_20170716_01_T1	LC80380012017187LGN00
LC08_L1TP_036001_20170622_20170630_01_T1	LC80360012017173LGN00
LC08_L1TP_038001_20170604_20170616_01_T1	LC80380012017155LGN00
LC08_L1TP_040001_20170602_20170615_01_T1	LC80400012017153LGN00
LC08_L1TP_039001_20170526_20170615_01_T1	LC80390012017146LGN00
LC08_L1TP_036001_20170521_20170526_01_T1	LC80360012017141LGN00
LC08_L1TP_038001_20170519_20170525_01_T1	LC80380012017139LGN00
LC08_L1TP_040001_20170517_20170525_01_T1	LC80400012017137LGN00
LC08_L1TP_037001_20170512_20170525_01_T1	LC80370012017132LGN00
LC08_L1TP_038001_20170503_20170515_01_T1	LC80380012017123LGN00
LC08_L1TP_040001_20170501_20170515_01_T1	LC80400012017121LGN00
LC08_L1TP_037001_20170426_20170502_01_T1	LC80370012017116LGN00
LC08_L1TP_039001_20170424_20170502_01_T1	LC80390012017114LGN00
LC08_L1TP_038001_20170417_20170501_01_T1	LC80380012017107LGN00
LC08_L1TP_040001_20170415_20170501_01_T1	LC80400012017105LGN00
LC08_L1TP_035001_20170412_20170501_01_T1	LC80350012017102LGN00
LC08_L1TP_036001_20160923_20170222_01_T1	LC80360012016267LGN01
LC08_L1TP_037001_20160914_20170222_01_T1	LC80370012016258LGN01
LC08_L1TP_039001_20160912_20170222_01_T1	LC80390012016256LGN01
LC08_L1TP_036001_20160907_20170221_01_T1	LC80360012016251LGN01
LC08_L1TP_040001_20160903_20170222_01_T1	LC80400012016247LGN01
LC08_L1TP_037001_20160728_20170221_01_T1	LC80370012016210LGN01
LC08_L1TP_036001_20160721_20170223_01_T1	LC80360012016203LGN01
LC08_L1TP_038001_20160719_20170221_01_T1	LC80380012016201LGN01
LC08_L1TP_040001_20160717_20170222_01_T1	LC80400012016199LGN01
