LM05_L1GS_015008_19840507_20180409_01_T2	LM50150081984128AAA04
LM05_L1TP_015009_19840507_20180409_01_T2	LM50150091984128AAA04
LM03_L1TP_021008_19820912_20180414_01_T2	LM30210081982255PAC01
LM03_L1GS_021008_19820702_20180413_01_T2	LM30210081982183PAC01
LM02_L1TP_020008_19790409_20180419_01_T2	LM20200081979099AAA04
LM02_L1TP_019008_19790408_20180419_01_T2	LM20190081979098AAA03
LM02_L1GS_017008_19760614_20180423_01_T2	LM20170081976166GMD03
LM02_L1TP_021008_19760531_20180423_01_T2	LM20210081976152PAC01
LM02_L1TP_017009_19760527_20180423_01_T2	LM20170091976148GMD03
LM02_L1GS_017008_19760403_20180424_01_T2	LM20170081976094AAA02
LM02_L1GS_017008_19750409_20180425_01_T2	LM20170081975099GMD03
LM02_L1TP_020008_19750325_20180425_01_T2	LM20200081975084FAK07
LM02_L1TP_018008_19750323_20180425_01_T2	LM20180081975082GMD03
LM01_L1GS_021008_19730731_20180428_01_T2	LM10210081973212PAC01
LM01_L1TP_021008_19730327_20180427_01_T2	LM10210081973086PAC01
