LE07_L1TP_014009_20130929_20161120_01_T1	LE70140092013272ASN00
LE07_L1TP_018008_20130808_20161122_01_T1	LE70180082013220ASN00
LE07_L1TP_015008_20130702_20161123_01_T1	LE70150082013183EDC00
LE07_L1TP_014009_20130609_20161123_01_T1	LE70140092013160EDC00
LE07_L1TP_017008_20130513_20161124_01_T1	LE70170082013133ASN00
LE07_L1TP_014009_20120926_20161129_01_T1	LE70140092012270ASN00
LE07_L1TP_017008_20120830_20161129_01_T1	LE70170082012243ASN00
LE07_L1TP_015008_20120715_20161130_01_T1	LE70150082012197ASN00
LE07_L1TP_014009_20120708_20161130_01_T1	LE70140092012190ASN00
LE07_L1TP_014009_20120622_20161130_01_T1	LE70140092012174ASN00
LE07_L1TP_015008_20120613_20161202_01_T1	LE70150082012165ASN00
LE07_L1TP_015009_20120613_20161201_01_T1	LE70150092012165ASN00
LE07_L1TP_017008_20120611_20161202_01_T1	LE70170082012163ASN00
LE07_L1TP_018008_20120602_20161202_01_T1	LE70180082012154ASN00
LE07_L1TP_016008_20120417_20161202_01_T1	LE70160082012108ASA00
LE07_L1TP_016008_20120401_20161202_01_T1	LE70160082012092ASN00
LE07_L1TP_014009_20110823_20161206_01_T1	LE70140092011235ASN00
LE07_L1TP_016008_20110805_20161207_01_T1	LE70160082011217EDC00
LE07_L1TP_016008_20110704_20161207_01_T1	LE70160082011185EDC00
LE07_L1TP_015008_20110627_20161207_01_T1	LE70150082011178EDC00
LE07_L1TP_015009_20110627_20161208_01_T1	LE70150092011178EDC00
LE07_L1TP_014009_20110620_20161209_01_T1	LE70140092011171EDC00
LE07_L1TP_016008_20100903_20161213_01_T1	LE70160082010246ASN01
LE07_L1TP_014009_20100820_20161213_01_T1	LE70140092010232ASN00
LE07_L1TP_015008_20100710_20161213_01_T1	LE70150082010191ASN00
LE07_L1TP_017008_20100708_20161213_01_T1	LE70170082010189ASN00
LE07_L1TP_014009_20100703_20161213_01_T1	LE70140092010184EDC00
LE07_L1TP_017008_20100622_20161214_01_T1	LE70170082010173EDC00
LE07_L1TP_014009_20100617_20161214_01_T1	LE70140092010168ASN00
LE07_L1TP_015008_20100523_20161215_01_T1	LE70150082010143ASN00
LE07_L1TP_015009_20100523_20161214_01_T1	LE70150092010143ASN00
LE07_L1TP_014009_20100516_20161214_01_T1	LE70140092010136EDC01
LE07_L1TP_016008_20100514_20161215_01_T1	LE70160082010134ASN00
LE07_L1TP_015008_20100507_20161214_01_T1	LE70150082010127ASN00
LE07_L1TP_017008_20100419_20161214_01_T1	LE70170082010109EDC00
LE07_L1TP_016008_20100412_20161215_01_T1	LE70160082010102EDC01
LE07_L1TP_017008_20100318_20161215_01_T1	LE70170082010077EDC00
LE07_L1TP_015009_20090925_20161217_01_T1	LE70150092009268EDC00
LE07_L1TP_016008_20090916_20161219_01_T1	LE70160082009259EDC00
LE07_L1TP_014009_20090902_20161220_01_T1	LE70140092009245EDC00
LE07_L1TP_016008_20090831_20161219_01_T1	LE70160082009243EDC01
LE07_L1TP_017008_20090806_20161218_01_T1	LE70170082009218EDC00
LE07_L1TP_014009_20090716_20161219_01_T1	LE70140092009197ASN00
LE07_L1TP_017008_20090619_20161221_01_T1	LE70170082009170EDC00
LE07_L1TP_014009_20090614_20161222_01_T1	LE70140092009165EDC00
LE07_L1TP_017008_20090518_20161222_01_T1	LE70170082009138EDC00
LE07_L1TP_014009_20090427_20161222_01_T1	LE70140092009117EDC00
LE07_L1TP_016008_20090425_20161222_01_T1	LE70160082009115EDC00
LE07_L1TP_014009_20090411_20161220_01_T1	LE70140092009101ASN00
LE07_L1TP_016008_20090409_20161220_01_T1	LE70160082009099EDC00
LE07_L1TP_014009_20080830_20161225_01_T1	LE70140092008243EDC00
LE07_L1TP_016008_20080828_20161225_01_T1	LE70160082008241ASN00
LE07_L1TP_015008_20080805_20161225_01_T1	LE70150082008218EDC00
LE07_L1TP_014009_20080729_20161225_01_T1	LE70140092008211ASN00
LE07_L1TP_016008_20080711_20161226_01_T1	LE70160082008193ASN00
LE07_L1TP_016008_20080625_20161228_01_T1	LE70160082008177ASN00
LE07_L1TP_017008_20080515_20161229_01_T1	LE70170082008136EDC00
LE07_L1TP_014009_20080510_20161229_01_T1	LE70140092008131EDC00
LE07_L1TP_016008_20080508_20161229_01_T1	LE70160082008129EDC00
LE07_L1TP_014009_20080424_20161229_01_T1	LE70140092008115EDC01
LE07_L1TP_015008_20080415_20161229_01_T1	LE70150082008106EDC00
LE07_L1TP_015009_20080415_20161229_01_T1	LE70150092008106EDC00
LE07_L1TP_017008_20070817_20170101_01_T1	LE70170082007229EDC00
LE07_L1TP_016008_20070810_20170102_01_T1	LE70160082007222EDC00
LE07_L1TP_014009_20070711_20170103_01_T1	LE70140092007192ASN00
LE07_L1TP_016008_20070709_20170102_01_T1	LE70160082007190ASN00
LE07_L1TP_016008_20070623_20170103_01_T1	LE70160082007174EDC00
LE07_L1TP_014009_20070524_20170103_01_T1	LE70140092007144ASN00
LE07_L1TP_016008_20070522_20170103_01_T1	LE70160082007142EDC00
LE07_L1TP_016008_20070420_20170104_01_T1	LE70160082007110ASN00
LE07_L1TP_014009_20070406_20170104_01_T1	LE70140092007096EDC00
LE07_L1TP_016008_20070404_20170104_01_T1	LE70160082007094ASN00
LE07_L1TP_014009_20060926_20170106_01_T1	LE70140092006269EDC01
LE07_L1TP_015008_20060917_20170108_01_T1	LE70150082006260ASN00
LE07_L1TP_015009_20060917_20170107_01_T1	LE70150092006260ASN00
LE07_L1TP_017008_20060915_20170108_01_T1	LE70170082006258EDC00
LE07_L1TP_016008_20060807_20170107_01_T1	LE70160082006219EDC00
LE07_L1TP_015008_20060731_20170107_01_T1	LE70150082006212EDC00
LE07_L1TP_014009_20060708_20170108_01_T1	LE70140092006189EDC00
LE07_L1TP_014009_20060606_20170108_01_T1	LE70140092006157EDC00
LE07_L1TP_014009_20060521_20170108_01_T1	LE70140092006141ASN00
LE07_L1TP_017008_20060510_20170109_01_T1	LE70170082006130EDC00
LE07_L1TP_015008_20060426_20170110_01_T1	LE70150082006116EDC00
LE07_L1TP_015009_20060426_20170110_01_T1	LE70150092006116EDC00
LE07_L1TP_014009_20060419_20170110_01_T1	LE70140092006109ASN00
LE07_L1TP_015008_20060410_20170110_01_T1	LE70150082006100EDC00
LE07_L1TP_015009_20060410_20170110_01_T1	LE70150092006100EDC00
LE07_L1TP_017008_20060408_20170110_01_T1	LE70170082006098EDC00
LE07_L1TP_014009_20050923_20170112_01_T1	LE70140092005266EDC00
LE07_L1TP_016008_20050921_20170112_01_T1	LE70160082005264EDC00
LE07_L1TP_016008_20050905_20170113_01_T1	LE70160082005248EDC00
LE07_L1TP_017008_20050827_20170114_01_T1	LE70170082005239EDC00
LE07_L1TP_015008_20050813_20170113_01_T1	LE70150082005225EDC00
LE07_L1TP_015009_20050813_20170113_01_T1	LE70150092005225EDC00
LE07_L1TP_017008_20050811_20170114_01_T1	LE70170082005223EDC00
LE07_L1TP_014009_20050721_20170115_01_T1	LE70140092005202EDC00
LE07_L1TP_016008_20050719_20170113_01_T1	LE70160082005200ASN00
LE07_L1TP_016008_20050703_20170115_01_T1	LE70160082005184EDC00
LE07_L1TP_014009_20050619_20170114_01_T1	LE70140092005170EDC00
LE07_L1TP_014009_20050603_20170115_01_T1	LE70140092005154EDC00
LE07_L1TP_014009_20050518_20170114_01_T1	LE70140092005138EDC00
LE07_L1TP_015008_20050509_20170115_01_T1	LE70150082005129ASN00
LE07_L1TP_015009_20050509_20170114_01_T1	LE70150092005129ASN00
LE07_L1TP_017008_20050507_20170115_01_T1	LE70170082005127ASN00
LE07_L1TP_014009_20050502_20170114_01_T1	LE70140092005122EDC00
LE07_L1TP_015009_20050423_20170115_01_T1	LE70150092005113EDC00
LE07_L1TP_014009_20050416_20170116_01_T1	LE70140092005106ASN00
LE07_L1TP_017008_20050405_20170115_01_T1	LE70170082005095EDC00
LE07_L1TP_014009_20050331_20170116_01_T1	LE70140092005090EDC00
LE07_L1TP_017008_20040909_20170119_01_T1	LE70170082004253EDC01
LE07_L1TP_014009_20040904_20170119_01_T1	LE70140092004248EDC02
LE07_L1TP_015009_20040709_20170120_01_T1	LE70150092004191EDC03
LE07_L1TP_015008_20040623_20170121_01_T1	LE70150082004175ASN01
LE07_L1TP_014009_20040616_20170120_01_T1	LE70140092004168EDC01
LE07_L1TP_014009_20040531_20170120_01_T1	LE70140092004152ASN01
LE07_L1TP_016008_20040529_20170121_01_T1	LE70160082004150ASN01
LE07_L1TP_014009_20040515_20170120_01_T1	LE70140092004136EDC02
LE07_L1TP_015008_20040506_20170121_01_T1	LE70150082004127ASN01
LE07_L1TP_015009_20040506_20170121_01_T1	LE70150092004127ASN01
LE07_L1TP_015008_20040420_20170121_01_T1	LE70150082004111EDC01
LE07_L1TP_017008_20040418_20170121_01_T1	LE70170082004109ASN03
LE07_L1TP_015008_20030925_20170124_01_T1	LE70150082003268EDC01
LE07_L1TP_015009_20030925_20170124_01_T1	LE70150092003268EDC01
LE07_L1TP_015008_20030824_20170124_01_T1	LE70150082003236EDC01
LE07_L1TP_015009_20030824_20170124_01_T1	LE70150092003236EDC01
LE07_L1TP_014009_20030529_20170125_01_T1	LE70140092003149ASN00
LE07_L1TP_015008_20030520_20170125_01_T1	LE70150082003140EDC00
LE07_L1TP_015009_20030520_20170125_01_T1	LE70150092003140EDC00
LE07_L1TP_016008_20030409_20170125_01_T1	LE70160082003099ASN00
LE07_L1TP_017008_20030331_20170125_01_T1	LE70170082003090ASN00
LE07_L1TP_017008_20020904_20170128_01_T1	LE70170082002247EDC00
LE07_L1TP_015008_20020821_20170128_01_T1	LE70150082002233EDC00
LE07_L1TP_015009_20020821_20170128_01_T1	LE70150092002233EDC00
LE07_L1TP_014009_20020713_20170130_01_T1	LE70140092002194EDC00
LE07_L1TP_015008_20020618_20170129_01_T1	LE70150082002169EDC00
LE07_L1TP_015009_20020618_20170129_01_T1	LE70150092002169EDC00
LE07_L1TP_015008_20020501_20170130_01_T1	LE70150082002121EDC00
LE07_L1TP_015009_20020501_20170130_01_T1	LE70150092002121EDC00
LE07_L1TP_017008_20020429_20170130_01_T1	LE70170082002119EDC00
LE07_L1TP_014009_20020408_20170131_01_T1	LE70140092002098EDC00
LE07_L1TP_015009_20010919_20170203_01_T1	LE70150092001262EDC00
LE07_L1TP_014009_20010710_20170204_01_T1	LE70140092001191EDC00
LE07_L1TP_015008_20010701_20170204_01_T1	LE70150082001182EDC00
LE07_L1TP_016008_20010606_20170205_01_T1	LE70160082001157EDC00
LE07_L1TP_015008_20010514_20170205_01_T1	LE70150082001134EDC00
LE07_L1TP_015009_20010514_20170205_01_T1	LE70150092001134EDC00
LE07_L1TP_014009_20010507_20170205_01_T1	LE70140092001127EDC00
LE07_L1TP_016008_20010505_20170205_01_T1	LE70160082001125EDC00
LE07_L1TP_015009_20010327_20170206_01_T1	LE70150092001086PFS00
LE07_L1TP_017008_20010325_20170206_01_T1	LE70170082001084EDC00
LE07_L1TP_014009_20010320_20170206_01_T1	LE70140092001079EDC02
LE07_L1TP_015009_20010311_20170206_01_T1	LE70150092001070EDC00
LE07_L1TP_015009_20001018_20170209_01_T1	LE70150092000292EDC00
LE07_L1TP_017008_20001016_20170209_01_T1	LE70170082000290EDC00
LE07_L1TP_014009_20000909_20170210_01_T1	LE70140092000253KIS00
LE07_L1TP_014009_20000808_20170210_01_T1	LE70140092000221EDC00
LE07_L1TP_016008_20000806_20170210_01_T1	LE70160082000219EDC00
LE07_L1TP_017008_20000728_20170210_01_T1	LE70170082000210EDC00
LE07_L1TP_016008_20000721_20170210_01_T1	LE70160082000203KIS00
LE07_L1TP_015008_20000628_20170211_01_T1	LE70150082000180EDC02
LE07_L1TP_015009_20000628_20170211_01_T1	LE70150092000180EDC02
LE07_L1TP_017008_20000626_20170211_01_T1	LE70170082000178KIS00
LE07_L1TP_014009_20000621_20170211_01_T1	LE70140092000173KIS00
LE07_L1TP_017008_20000610_20170211_01_T1	LE70170082000162EDC00
LE07_L1TP_017008_20000525_20170211_01_T1	LE70170082000146EDC00
LE07_L1TP_016008_20000518_20170211_01_T1	LE70160082000139EDC01
LE07_L1TP_015009_20000511_20170212_01_T1	LE70150092000132EDC00
LE07_L1TP_014009_20000504_20170212_01_T1	LE70140092000125EDC00
LE07_L1TP_014009_20000402_20170212_01_T1	LE70140092000093KIS00
LE07_L1TP_014009_20000317_20170212_01_T1	LE70140092000077KIS00
LE07_L1TP_016008_20000315_20170213_01_T1	LE70160082000075KIS00
LE07_L1TP_014009_19991025_20170216_01_T1	LE70140091999298EDC01
LE07_L1TP_015009_19991016_20170216_01_T1	LE70150091999289EDC00
LE07_L1TP_016008_19990905_20170217_01_T1	LE70160081999248EDC00
