LC08_L1TP_016008_20190515_20190521_01_T1	LC80160082019135LGN00
LC08_L1TP_082235_20190514_20190521_01_T1	LC80822352019134LGN00
LC08_L1TP_082236_20190514_20190521_01_T1	LC80822362019134LGN00
LC08_L1TP_018008_20190513_20190521_01_T1	LC80180082019133LGN00
LC08_L1TP_015008_20190508_20190521_01_T1	LC80150082019128LGN00
LC08_L1TP_014009_20190501_20190508_01_T1	LC80140092019121LGN00
LC08_L1TP_016008_20190429_20190508_01_T1	LC80160082019119LGN00
LC08_L1TP_017008_20190420_20190507_01_T1	LC80170082019110LGN00
LC08_L1TP_015009_20190321_20190403_01_T1	LC80150092019080LGN00
LC08_L1TP_015009_20190305_20190309_01_T1	LC80150092019064LGN00
LC08_L1TP_014009_20190226_20190309_01_T1	LC80140092019057LGN00
LC08_L1TP_016008_20190224_20190309_01_T1	LC80160082019055LGN00
LC08_L1TP_015008_20181012_20181030_01_T1	LC80150082018285LGN00
LC08_L1TP_015009_20181012_20181030_01_T1	LC80150092018285LGN00
LC08_L1TP_017008_20180924_20180929_01_T1	LC80170082018267LGN00
LC08_L1TP_014009_20180919_20180928_01_T1	LC80140092018262LGN00
LC08_L1TP_018008_20180830_20180911_01_T1	LC80180082018242LGN00
LC08_L1TP_016008_20180816_20180829_01_T1	LC80160082018228LGN00
LC08_L1TP_083235_20180806_20180814_01_T1	LC80832352018218LGN00
LC08_L1TP_016008_20180731_20180814_01_T1	LC80160082018212LGN01
LC08_L1TP_080236_20180731_20180814_01_T1	LC80802362018212LGN00
LC08_L1TP_014009_20180717_20180730_01_T1	LC80140092018198LGN00
LC08_L1TP_083235_20180705_20180717_01_T1	LC80832352018186LGN00
LC08_L1TP_082235_20180628_20180704_01_T1	LC80822352018179LGN00
LC08_L1TP_082236_20180628_20180704_01_T1	LC80822362018179LGN00
LC08_L1TP_018008_20180627_20180704_01_T1	LC80180082018178LGN00
LC08_L1TP_014009_20180615_20180703_01_T1	LC80140092018166LGN00
LC08_L1TP_017008_20180604_20180615_01_T1	LC80170082018155LGN00
LC08_L1TP_018008_20180526_20180605_01_T1	LC80180082018146LGN00
LC08_L1TP_015008_20180521_20180605_01_T1	LC80150082018141LGN00
LC08_L1TP_016008_20180512_20180517_01_T1	LC80160082018132LGN00
LC08_L1TP_018008_20180510_20180517_01_T1	LC80180082018130LGN00
LC08_L1TP_015008_20180505_20180517_01_T1	LC80150082018125LGN00
LC08_L1TP_015009_20180505_20180517_01_T1	LC80150092018125LGN00
LC08_L1TP_016008_20180426_20180502_01_T1	LC80160082018116LGN00
LC08_L1TP_017008_20180417_20180501_01_T1	LC80170082018107LGN00
LC08_L1TP_014009_20180412_20180417_01_T1	LC80140092018102LGN00
LC08_L1TP_016008_20180410_20180417_01_T1	LC80160082018100LGN00
LC08_L1TP_015009_20180403_20180417_01_T1	LC80150092018093LGN01
LC08_L1TP_017008_20180401_20180416_01_T1	LC80170082018091LGN00
LC08_L1TP_014009_20180327_20180404_01_T1	LC80140092018086LGN00
LC08_L1TP_016008_20180325_20180404_01_T1	LC80160082018084LGN00
LC08_L1TP_015009_20180318_20180403_01_T1	LC80150092018077LGN00
LC08_L1TP_017008_20180316_20180402_01_T1	LC80170082018075LGN00
LC08_L1TP_016008_20180221_20180308_01_T1	LC80160082018052LGN00
LC08_L1TP_016008_20171016_20171024_01_T1	LC80160082017289LGN00
LC08_L1TP_018008_20171014_20171024_01_T1	LC80180082017287LGN00
LC08_L1TP_015008_20171009_20171024_01_T1	LC80150082017282LGN00
LC08_L1TP_015009_20171009_20171024_01_T1	LC80150092017282LGN00
LC08_L1TP_016008_20170930_20171013_01_T1	LC80160082017273LGN00
