,Akullikassaap,Alangorssup,Alanngorliup,Brückner,Christian-IV,Cornell,Courtauld,Dietrichson,Docker-Smith,Eqip,Fenris,Frederiksborg,Gade,Glacier-de-France,Hayes,Heim,Helheim,Hutchinson,Illullip,Inngia,Issuusarsuit,Jakobshavn,Kakiffaat,Kangerdluarssup,Kangerlussuaq,Kangerlussuup,Kangiata-Nunaata,Kangilerngata,Kangilinnguata,Kangilleq,Kjer,Kong-Oscar,Kronborg,Kælvegletscher,Lille,Midgård,Morell,Nansen,Narsap,Nordenskiold,Nordfjord,Nordre-Parallelgletsjer,Nunatakassaap,Nunatakavsaup,Perlerfiup,Polaric,Qeqertarsuup,Rink-Gletsjer,Rink-Isbrae,Rosenborg,Saqqarliup,Sermeq-Avannarleq-69,Sermeq-Avannarleq-70,Sermeq-Avannarleq-73,Sermeq-Kujalleq-70,Sermeq-Kujalleq-73,Sermeq-Silarleq,Sermilik,Sorgenfri,Steenstrup,Store,Styrtegletsjer,Sverdrup,Søndre-Parallelgletsjer,Umiammakku,Upernavik-NE,Upernavik-SE
1972,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,2,3,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
1973,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0
1974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1975,3,2,1,0,0,0,0,3,2,1,0,0,1,0,1,0,0,0,0,1,3,1,2,1,0,1,0,0,0,0,0,3,0,0,0,0,2,3,0,3,0,0,0,2,0,0,1,2,1,0,1,1,0,1,0,1,0,0,0,2,0,0,3,0,1,3,3
1976,3,1,1,0,0,2,0,2,0,1,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,2,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,1,2,1,2,1,1,0,2,1,0,0,0,1,2,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1979,2,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,2,2
1980,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
1981,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
