ID;LAT;LON;New Greenlandic name;Old Greenlandic name;Foreign name;Official name;Alternative names;RGI_ID;GLIMS_ID;RGI_CEN_LON;RGI_CEN_LAT;Type
GGN0001;60,1166;-43,37;Sermeq Kujalleq;Sermeq Kujatdleq; ;Sermeq Kujalleq; ;RGI40-05.04361;G316578E60159N;-43,4217;60,1593;LGIC
GGN0002;60,1349;-43,5125;Sermeq Avannarleq;Sermeq Avangnardleq; ;Sermeq Avannarleq; ;RGI40-05.04363;G316482E60158N;-43,5182;60,1584;LGIC
GGN0003;60,1627;-43,7278;Sermikasik Avannarleq;Sermikasik Avangnardleq; ;Sermikasik Avannarleq; ;RGI40-05.04356;G316285E60178N;-43,7154;60,1779;LGIC
GGN0004;60,1639;-43,7038;Sermikasik Kujalleq;Sermikasik Kujatdleq; ;Sermikasik Kujalleq; ;RGI40-05.04356;G316285E60178N;-43,7154;60,1779;LGIC
GGN0005;60,2171;-43,337;Sermeq Avannarleq;Sermeq Avangnardleq; ;Sermeq Avannarleq; ;RGI40-05.04332;G316577E60220N;-43,4229;60,2199;LGIC
GGN0006;60,2352;-43,2644;Sermeq Qeqqarleq;Sermeq Qerqardleq; ;Sermeq Qeqqarleq; ;RGI40-05.04331;G316702E60261N;-43,2980;60,2613;LGIC
GGN0007;60,2505;-43,2445;Sermeq Kujalleq;Sermeq Kujatdleq; ;Sermeq Kujalleq; ;RGI40-05.04331;G316702E60261N;-43,2980;60,2613;LGIC
GGN0008;60,3098;-43,948;Paarliit Sermiat; ; ;Paarliit Sermiat;Paarliit Sermia;RGI40-05.04309;G316193E60315N;-43,8066;60,3151;LGIC
GGN0009;60,3114;-45,2736; ; ;Napasorsuaq Gletsjer;Napasorsuaq Gletsjer; ;RGI40-05.03779;G314725E60307N;-45,2749;60,3074;LGIC
GGN0010;60,3479;-44,1093;Sermikasik; ; ;Sermikasik; ;RGI40-05.03889;G315849E60344N;-44,1513;60,3436;LGIC
GGN0011;60,4097;-44,1272;Qinngorliit Sermiat; ; ;Qinngorliit Sermiat;Qinngerliit Sermiat;RGI40-05.04288;G315830E60462N;-44,1699;60,4622;LGIC
GGN0012;60,5319;-44,4256;Sermitsiaq;Sermitsiaq; ;Sermitsiaq; ;RGI40-05.04052;G315652E60546N;-44,3482;60,5455;LGIC
GGN0013;60,5686;-44,4636;Sermersuasik; ; ;Sermersuasik; ;RGI40-05.04143;G315572E60586N;-44,4281;60,5864;LGIC
GGN0014;60,7022;-45,2375;Sermitsiaq Killeq;Sermitsiaq Kitdleq; ;Sermitsiaq Killeq; ;RGI40-05.04402;G314767E60701N;-45,2333;60,7008;LGIC
GGN0015;60,7165;-45,207;Sermitsiaq Kangilleq;Sermitsiaq Kangigdleq; ;Sermitsiaq Kangilleq; ;RGI40-05.04310;G314796E60715N;-45,2044;60,7145;LGIC
GGN0016;60,7977;-44,4902;Sermeq;Sermeq; ;Sermeq; ;;;;;GrIS
GGN0017;60,8598;-44,8764;Siorallip Sermia;Sioragdlip Sermia; ;Siorallip Sermia; ;;;;;GrIS
GGN0018;60,9667;-44,9167;Sermeq Kangilleq;Sermeq Kangigdleq; ;Sermeq Kangilleq; ;;;;;GrIS
GGN0019;60,9833;-45,0167; ; ;Jespersen Bræ;Jespersen Bræ; ;;;;;GrIS
GGN0020;60,9845;-46,9863;Sermilik; ;Sermilik Bræ;Sermilik; ;;;;;GrIS
GGN0021;60,9938;-45,9079; ; ;Narsaq Bræ;Narsaq Bræ; ;RGI40-05.04721;G314094E60995N;-45,9058;60,9954;LGIC
GGN0022;61,0088;-46,686;Qalerallit Sermiat;Qaleragdlit Sermiat; ;Qalerallit Sermiat; ;;;;;GrIS
GGN0023;61,0373;-46,5812;Naajat Sermiat;Naujat Sermiat; ;Naajat Sermiat; ;;;;;GrIS
GGN0024;61,05;-47,6667; ; ;Nordre Qipisaqqu Bræ;Nordre Qipisaqqu Bræ; ;;;;;GrIS
GGN0025;61,05;-47,5; ; ;Søndre Qipisaqqu Bræ;Søndre Qipisaqqu Bræ; ;;;;;GrIS
GGN0026;61,09;-46,4184;Ilorliit;Ilordlît; ;Ilorliit; ;;;;;GrIS
GGN0027;61,095;-46,3171;Serminnguaq;Sermínguaq; ;Serminnguaq; ;;;;;GrIS
GGN0028;61,1452;-47,7424; ; ;Søndre Qoornoq Bræ;Søndre Qoornoq Bræ; ;;;;;GrIS
GGN0029;61,1912;-47,7181; ; ;Nordre Qoornoq Bræ;Nordre Qoornoq Bræ; ;;;;;GrIS
GGN0030;61,2149;-48,4512; ; ;Storebræ;Storebræ; ;RGI40-05.04997;G311549E61209N;-48,4511;61,2091;LGIC
GGN0031;61,2157;-48,4309; ; ;Nordre Hængebræ;Nordre Hængebræ; ;RGI40-05.04989;G311571E61214N;-48,4286;61,2144;LGIC
GGN0032;61,2667;-45,2667;Kiattuut Sermiat;Kiagtût Sermiat; ;Kiattuut Sermiat; ;;;;;GrIS
GGN0033;61,2765;-46,1501;Eqalorutsit Killiit Sermiat;Eqalorutsit Kitdlît Sermiat; ;Eqalorutsit Killiit Sermiat; ;;;;;GrIS
GGN0034;61,2966;-44,9608; ; ;Sydtunge;Sydtunge; ;;;;;GrIS
GGN0035;61,2986;-44,7999; ; ;Tretungegletsjer;Tretungegletsjer; ;;;;;GrIS
GGN0036;61,3107;-47,8693;Sermeq;Sermeq;Arsuk Bræ;Sermeq; ;;;;;GrIS
GGN0037;61,3123;-44,9964; ; ;Nordtunge;Nordtunge; ;;;;;GrIS
GGN0038;61,3457;-44,9839;Qooqqup Sermia;Qôrqup Sermia; ;Qooqqup Sermia; ;;;;;GrIS
GGN0039;61,3517;-47,8065; ; ;Sortisen;Sortisen; ;;;;;GrIS
GGN0040;61,3662;-45,1586; ; ;Sydgletsjer;Sydgletsjer; ;;;;;GrIS
